Townland	s Acre	Barony	Civil parish	Poor law union
Raheenadeeragh	367	Narragh and Reban West	Churchtown	Athy
Raheens	540	Clane	Carragh	Naas
Rahilla Commons	8	Offaly East	Dunmurry	Naas
Rahilla Commons	11	Offaly East	Kildare	Naas
Rahilla Glebe	506	Offaly East	Kildare	Naas
Rahin	656	Carbury	Carrick	Edenderry
Rahoonbeak	325	Narragh and Reban East	Narraghmore	Athy
Railpark	366	North Salt	Laraghbryan	Celbridge
Rathangan	1004	Offaly East	Rathangan	Edenderry
Rathangan Demesne	561	Offaly East	Rathangan	Edenderry
Rathasker	132	Naas North	Killashee	Naas
Rathasker	167	Naas North	Naas	Naas
Rathbane	447	South Salt	Kilteel	Naas
Rathbride	1052	Offaly East	Tully	Naas
Rathcoffey Demesne	222	Ikeathy and Oughterany	Balraheen	Celbridge
Rathcoffey North	216	Ikeathy and Oughterany	Balraheen	Celbridge
Rathcoffey South	255	Ikeathy and Oughterany	Balraheen	Celbridge
Rathconnell	374	Offaly West	Fontstown	Athy
Rathconnell Wood	517	Offaly West	Fontstown	Athy
Rathernan	511	Connell	Rathernan	Naas
Rathgorragh	159	South Salt	Kill	Naas
Rathgrumly	210	Narragh and Reban West	Narraghmore	Athy
Rathmore	521	Carbury	Ardkill	Edenderry
Rathmore	417	Naas North	Bodenstown	Naas
Rathmore East	377	Naas North	Rathmore	Naas
Rathmore West	927	Naas North	Rathmore	Naas
Rathmuck	297	Offaly West	Duneany	Athy
Rathsillagh Lower	173	Narragh and Reban East	Fontstown	Athy
Rathsillagh Upper	342	Narragh and Reban East	Fontstown	Athy
Rathstewart	52	Narragh and Reban West	St. Michaels	Athy
Rathwalkin	245	Offaly East	Kildare	Edenderry
Ravensdale	186	North Salt	Laraghbryan	Celbridge
Redbog	459	Naas North	Rathmore	Naas
Redhills	332	Offaly East	Kildare	Edenderry
Reeves	221	South Salt	Donaghcumper	Celbridge
Richardstown	587	Ikeathy and Oughterany	Mainham	Celbridge
Rickardstown	145	Connell	Morristownbiller	Naas
Rickardstown Lower	490	Offaly West	Harristown	Athy
Rickardstown Upper	232	Offaly West	Harristown	Athy
Rinaghan	51	Carbury	Carrick	Edenderry
Rinawade Lower	47	North Salt	Donaghcumper	Celbridge
Rinawade Upper	87	North Salt	Donaghcumper	Celbridge
Riverstown	240	Offaly West	Ballybrackan	Athy
Robertstown East	336	Connell	Kilmeage	Naas
Robertstown West	269	Connell	Kilmeage	Naas
Rochestown	113	Naas South	Gilltown	Naas
Rock	188	Offaly West	Kilrush	Athy
Roestown	228	Ikeathy and Oughterany	Kilcock	Celbridge
Roosk	177	North Salt	Taghadoe	Celbridge
Rosberry	1054	Connell	Morristownbiller	Naas
Rosbran	91	Narragh and Reban West	St. John's	Athy
Roscolvin	191	Kilkea and Moone	Castledermot	Baltinglass
Rosetown	429	Kilkea and Moone	Tankardstown	Athy
Rosetown	416	Connell	Greatconnell	Naas
Roundhills	59	Narragh and Reban West	St. John's	Athy
Rowanstown	130	North Salt	Laraghbryan	Celbridge
Royaloak	362	Carbury	Ballynadrumny	Edenderry
Russellstown	196	Narragh and Reban West	Kilberry	Athy
Russellstown	382	Connell	Rathernan	Naas
Russellswood	151	Carbury	Carrick	Edenderry
Saintjohns	458	Kilkea and Moone	Castledermot	Baltinglass
Salisbury	63	Narragh and Reban West	Kilberry	Athy
Sallins	206	Naas North	Bodenstown	Naas
Sallymount Demesne	223	Naas South	Brannockstown	Naas
Sawyerswood	206	Narragh and Reban West	Kilberry	Athy
Scarletstown	216	Connell	Morristownbiller	Naas
Seasons	114	Naas South	Ballymore Eustace	Naas
Segravescastle	30	Naas North	Rathmore	Naas
Shamrocklodge	25	Narragh and Reban West	St. John's	Athy
Shanacloon	189	Offaly East	Ballyshannon	Naas
Shanraheen	164	Narragh and Reban West	Kilberry	Athy
Shanrath	6	Narragh and Reban West	St. John's	Athy
Shanrath East	123	Narragh and Reban West	St. Michaels	Athy
Shanrath West	111	Narragh and Reban West	St. Michaels	Athy
Sheean	163	Narragh and Reban West	Churchtown	Athy
Sheean	426	Narragh and Reban West	Kilberry	Athy
Sheean	316	Offaly East	Rathangan	Edenderry
Sheriffhill	393	Kilkea and Moone	Killelan	Baltinglass
Sherlockstown	556	Naas North	Sherlockstown	Naas
Sherlockstown Common	138	Naas North	Sherlockstown	Naas
Sheshoon	316	Offaly East	Ballysax	Naas
Shindala	158	Offaly West	Lackagh	Athy
Shortwood	104	Naas North	Whitechurch	Naas
Sillagh	326	Naas South	Kill	Naas
Silliothill	258	Naas South	Carnalway	Naas
Silliothill	166	Offaly East	Moone	Naas
Silverhill Lower	83	Naas South	Ballymore Eustace	Naas
Silverhill Upper	146	Naas South	Ballymore Eustace	Naas
Simmonstown	300	South Salt	Donaghcumper	Celbridge
Simonstown East	62	Kilkea and Moone	Killelan	Baltinglass
Simonstown West	413	Kilkea and Moone	Killelan	Baltinglass
Sion	164	North Salt	Laraghbryan	Celbridge
Skeagh	65	South Salt	Lyons	Celbridge
Skenagun	222	Kilkea and Moone	Castledermot	Baltinglass
Skerries North	506	Narragh and Reban West	Narraghmore	Athy
Skerries South	301	Narragh and Reban West	Narraghmore	Athy
Skirteen	89	Offaly West	Monasterevin	Athy
Slate Quarries	18	Naas South	Tipperkevin	Naas
Slatequarries	143	Naas North	Rathmore	Naas
Slieveroe	282	Naas South	Tipperkevin	Naas
Smallford	351	Narragh and Reban West	Kilberry	Athy
Smithstown	232	North Salt	Taghadoe	Celbridge
Snugburrow	225	Kilkea and Moone	Tankardstown	Athy
Sousheen Common	7	Naas South	Ballymore Eustace	Naas
Southgreen	30	Offaly East	Kildare	Naas
Southgreen	264	Offaly East	Tully	Naas
Spratstown	319	Narragh and Reban East	Narraghmore	Baltinglass
Srowland	121	Narragh and Reban West	Kilberry	Athy
St Catherines	25	North Salt	Confey	Celbridge
St Catherines Park	799	North Salt	Leixlip	Celbridge
St. Wolstans	110	South Salt	Donaghcumper	Celbridge
Stacumny	155	South Salt	Stacumny	Celbridge
Stacumny Cottage	135	South Salt	Stacumny	Celbridge
Staplestown	625	Clane	Ballynafagh	Naas
Stephenstown North	252	Naas South	Killashee	Naas
Stephenstown South	236	Naas South	Killashee	Naas
Stickins	279	Clane	Carragh	Naas
Straffan	215	North Salt	Straffan	Celbridge
Straffan Demesne	214	North Salt	Straffan	Celbridge
Straleek	9	South Salt	Donaghcumper	Celbridge
Stramillian	106	Offaly West	Monasterevin	Athy
Strawhall	40	Offaly East	Kildare	Naas
Suncroft	81	Offaly East	Carn	Naas
Sunnyhill	394	Kilcullen	Kilcullen	Naas
Swordlestown North	549	Naas South	Kill	Naas
Swordlestown South	476	Naas South	Kill	Naas
Taghadoe	506	North Salt	Taghadoe	Celbridge
Tanderagee	190	Carbury	Mylerstown	Edenderry
Tankardsgarden	507	Connell	Oldconnell	Naas
Tankardstwon	331	Kilkea and Moone	Kineagh	Baltinglass
Tawnrush	223	Offaly West	Kilrush	Athy
Teelough	128	Carbury	Kilmore	Edenderry
Thomastown	396	Kilcullen	Tully	Athy
Thomastown	566	Carbury	Cadamstown	Edenderry
Thomastown	148	Clane	Carragh	Naas
Thomastown East	583	Offaly East	Thomastown	Edenderry
Thomastown West	270	Offaly East	Thomastown	Edenderry
Thornberry	159	South Salt	Kill	Naas
Thornhill	45	North Salt	Kildrought	Celbridge
Ticknevin	2335	Carbury	Kilpatrick	Edenderry
Timahoe East	2193	Clane	Timahoe	Naas
Timahoe West	795	Clane	Timahoe	Naas
Timard	129	North Salt	Laraghbryan	Celbridge
Timolin	1102	Narragh and Reban East	Timolin	Baltinglass
Tinnakill	229	Narragh and Reban West	Narraghmore	Athy
Tinnycross	67	Naas South	Ballymore Eustace	Naas
Tippeenan Lower	185	Offaly West	Fontstown	Athy
Tippeenan Upper	185	Offaly West	Fontstown	Athy
Tipper East	249	Naas North	Tipper	Naas
Tipper North	176	Naas North	Tipper	Naas
Tipper South	433	Naas North	Tipper	Naas
Tipper West	173	Naas North	Tipper	Naas
Tipperkevin	278	Naas South	Tipperkevin	Naas
Tipperstown	99	South Salt	Castledillon	Celbridge
Tirmoghan Common	46	Ikeathy and Oughterany	Cloncurry	Celbridge
Tobercocka	88	Offaly West	Lackagh	Athy
Toberogan	154	Kilcullen	Kilcullen	Naas
Toberton	131	Naas North	Johnstown	Naas
Toghereen	152	Offaly West	Lackagh	Athy
Togherorymore	143	Offaly West	Lackagh	Athy
Tomard	413	Narragh and Reban West	Kilberry	Athy
Tonaphuca (or Flemingtown South)	448	Naas South	Killashee	Naas
Tonlegee	71	Narragh and Reban West	St. John's	Athy
Toolestown	186	North Salt	Taghadoe	Celbridge
Townparks	95	Kilkea and Moone	Castledermot	Athy
Townparks	128	Narragh and Reban West	Churchtown	Athy
Townparks	118	Narragh and Reban West	St. Michaels	Athy
Treadstown	195	North Salt	Laraghbryan	Celbridge
Tuckmilltown	245	South Salt	Oughterard	Naas
Tully East	1166	Offaly East	Tully	Naas
Tully West	624	Offaly East	Tully	Naas
Tullygorey	198	Narragh and Reban West	Kilberry	Athy
Tullylost	452	Offaly East	Rathangan	Edenderry
Turnerstown	131	Narragh and Reban East	Moone	Athy
Turnings	52	Naas North	Whitechurch	Naas
Turnings Lower	523	Naas North	Whitechurch	Naas
Turnings Upper	278	Naas North	Whitechurch	Naas
Tyrrellstown	259	Narragh and Reban West	Kilberry	Athy
Ummeras Beg	162	Offaly West	Lackagh	Athy
Ummeras More	595	Offaly West	Lackagh	Athy
Usk	565	Narragh and Reban East	Usk	Naas
Usk Little	53	Narragh and Reban East	Usk	Naas
Walshestown	667	Connell	Greatconnell	Naas
Walshestown	106	Naas North	Rathmore	Naas
Walshestown	160	Naas South	Tipperkevin	Naas
Walterstown	1039	Offaly West	Walterstown	Athy
Walterstown	324	Naas South	Carnalway	Naas
Walterstown Lower	265	Offaly West	Walterstown	Athy
Watergrange	368	Offaly East	Grangeclare	Edenderry
Waterstown	438	Clane	Brideschurch	Naas
Westown	155	Naas North	Johnstown	Naas
Wevil	23	Offaly West	Ballyshannon	Athy
Wheatfield Lower	204	South Salt	Castledillon	Celbridge
Wheatfield Upper	136	South Salt	Castledillon	Celbridge
Wheelam	417	Connell	Feighcullen	Naas
Whitechurch	72	Naas North	Whitechurch	Naas
Whitehouse	223	Offaly West	Fontstown	Athy
Whiteleas	129	Naas South	Ballybought	Naas
Whitesland East	111	Offaly East	Kildare	Naas
Whitesland West	143	Offaly East	Kildare	Naas
Williamstown	376	Carbury	Nurney	Edenderry
Willsgrove	81	Narragh and Reban West	Kilberry	Athy
Windgates	331	North Salt	Taghadoe	Celbridge
Windmill	282	Carbury	Kilmore	Edenderry
Wolfestown	452	Naas North	Rathmore	Naas
Woodlands East	398	Kilkea and Moone	Castledermot	Athy
Woodlands West	389	Kilkea and Moone	Castledermot	Athy
Woodstock North	231	Narragh and Reban West	Churchtown	Athy
Woodstock North	225	Narragh and Reban West	Churchtown	Athy
Yellowbogcommon	289	Kilcullen	Kilcullen	Naas
Yeomanstown	426	Clane	Carragh	Naas
