Urban area (locality)	Population	Land area (hectares)	Density (inh./km²)	Code
Stavsjö	212	28.36	747.53	0854
Stavsnäs	810	57.00	1421.05	0324
Stehag	1122	85.54	1311.67	3700
Stenared	237	27.41	864.65	4574
Stenhamra	3336	290.85	1146.98	0328
Steninge	836	173.80	481.01	4106
Stensele	546	124.94	437.01	8320
Stensjön	224	55.01	407.20	1676
Stenstorp	1668	165.99	1004.88	5436
Stensund och Krymla	346	86.72	398.99	0790
Stenungsund	9987	1111.74	898.32	4568
Stenungsön	264	54.58	483.69	4578
Sticklinge udde	2943	121.77	2416.85	0332
Stidsvig	754	117.53	641.54	3092
Stigen	428	70.12	610.38	5048
Stigtomta	1942	179.22	1083.58	0856
Stjärnhov	549	96.60	568.32	0860
Stoby	745	68.99	1079.87	3096
Stocka	382	91.52	417.40	7292
Stockamöllan	300	42.43	707.05	3704
Stockaryd	958	164.73	581.56	1680
Stockholm	1372565	38163.12	3596.57	0336
Stockvik	2359	228.19	1033.79	7670
Stora Bugärde	367	101.93	360.05	4570
Stora Dyrön	250	23.84	1048.66	4572
Stora Herrestad	293	47.44	617.62	3708
Stora Höga	2751	242.51	1134.39	4576
Stora Levene	761	100.68	755.86	5440
Stora Mellby	321	54.50	588.99	5052
Stora Mellösa	776	72.33	1072.86	6116
Stora Vika	651	47.64	1366.50	0340
Storebro	972	141.71	685.91	2412
Storfors	2337	286.76	814.97	5812
Storuman	2207	311.53	708.44	8324
Storvik	2165	262.17	825.80	7296
Storvreta	6347	303.88	2088.65	0628
Storå	1933	612.81	315.43	6120
Strandhugget	261	22.94	1137.75	0996
Strandnorum	1251	81.60	1533.09	4580
Striberg	317	70.23	451.37	6124
Strängnäs	12856	653.10	1968.46	0868
Strålsnäs	410	63.81	642.53	1264
Strångsjö	365	59.15	617.08	0864
Stråssa	306	154.17	198.48	6128
Strömma	579	231.83	249.75	0342
Strömsbruk	362	94.16	384.45	7304
Strömsfors	528	81.64	646.74	1268
Strömsholm	664	128.88	515.21	6328
Strömsnäsbruk	2066	332.58	621.20	1980
Strömstad	6288	340.49	1846.75	4584
Strömsund	3589	362.66	989.63	7960
Strövelstorp	1087	85.56	1270.45	3100
Stugun	659	124.09	531.07	7964
Sturefors	2229	104.97	2123.46	1272
Sturkö	1264	577.74	218.78	2740
Styrsö	1304	158.22	824.17	4588
Ställdalen	539	210.35	256.24	6136
Stånga	317	104.76	302.60	2540
Stångby	1218	78.78	1546.08	3712
Stöcke	483	49.24	980.91	8332
Stöcksjö	215	39.04	550.72	8334
Stöde	572	117.79	485.61	7676
Stöllet	245	80.60	303.97	5816
Stöpen	1401	89.95	1557.53	5444
Sulvik	312	79.98	390.10	5820
Sund	329	115.32	285.29	0898
Sundborn	762	87.51	870.76	6768
Sundby	270	21.34	1265.23	0266
Sundbyholm	485	75.43	642.98	0870
Sundhultsbrunn	311	40.07	776.14	1684
Sundsbruk	2137	463.06	461.50	7684
Sundsvall	50712	2746.20	1846.62	7688
Sunnansjö	560	155.49	360.15	6772
Sunne	4931	457.42	1078.00	5824
Sunnemo	241	58.58	411.40	5828
Sunningen	742	80.15	925.76	4590
Surahammar	6179	548.82	1125.87	6332
Surte	5798	361.48	1603.96	5056
Svalsta	1078	76.88	1402.19	0876
Svalöv	3633	239.37	1517.73	3716
Svanberga	501	58.06	862.90	0348
Svanesund	1518	154.45	982.84	4592
Svanskog	510	153.19	332.92	5832
Svanvik	293	34.89	839.78	4594
Svappavaara	417	91.51	455.69	8864
Svartbyn	265	121.69	217.77	8868
Svarte	902	62.38	1445.98	3720
Svartvik	949	134.91	703.43	7696
Svartå	495	109.79	450.86	6140
Svedala	10627	488.81	2174.06	3724
Sveg	2547	284.70	894.63	7968
Svenljunga	3418	437.61	781.06	5060
Svensbyn	342	51.72	661.25	8876
Svenshögen	421	42.72	985.49	4598
Svenstavik	1004	150.68	666.31	7976
Svenstorp	239	23.52	1016.16	3102
Svinninge	1636	371.06	440.90	0350
Svängsta	1682	225.54	745.77	2748
Svärdsjö	1251	135.26	924.89	6776
Svärtinge	2963	385.73	768.15	1276
Sya	306	35.99	850.24	1280
Sysslebäck	527	149.95	351.45	5836
Säffle	8991	735.26	1222.83	5840
Sälen	652	132.71	491.30	6784
Sälgsjön	207	28.08	737.18	7308
Särna	719	364.38	197.32	6788
Särö	3165	449.55	704.04	4108
Säter	4429	380.52	1163.93	6792
Sätila	1059	108.21	978.65	5064
Sätofta	1348	173.70	776.05	3728
Sätra brunn	335	69.32	483.27	6336
Sävar	2670	244.52	1091.94	8336
Sävast	3148	358.93	877.05	8878
Säve	743	46.53	1596.82	4596
Sävja	9684	402.35	2406.86	0632
Sävsjö	5122	439.20	1166.21	1688
Sågmyra	546	153.42	355.89	6780
Söderala	949	168.39	563.57	7312
Söderby	250	58.61	426.55	0362
Söderby-Karl	231	66.96	344.98	0352
Söderbärke	924	207.92	444.40	6796
Söderfors	1572	226.52	693.98	0636
Söderhamn	11761	1053.26	1116.63	7316
Söderköping	6992	402.38	1737.66	1284
Söderskogen	378	59.36	636.79	0638
Södersvik	281	80.27	350.07	0354
Södertälje	64619	2584.45	2500.30	0356
Söderåkra	912	135.17	674.71	2416
Södra Bergsbyn och Stackgrönn	393	79.69	493.16	8342
Södra Klagshamn	1367	44.73	3056.11	3524
Södra Näs	671	60.27	1113.32	4122
Södra Sandby	6136	362.99	1690.40	3732
Södra Sunderbyn	2977	200.39	1485.60	8880
Södra Vi	1182	156.28	756.33	2420
Södra Vrams fälad	249	41.55	599.28	3736
Sölvesborg	8401	609.84	1377.57	2752
Sörfors	403	120.85	333.47	8344
Sörforsa	1574	205.63	765.45	7320
Sörmjöle	212	26.16	810.40	8348
Sörstafors	278	43.03	646.06	6340
Sörvik	743	136.41	544.68	6804
Söråker	2312	507.89	455.22	7700
Sösdala	1811	196.57	921.30	3104
Sövde	291	34.73	837.89	3738
Sövestad	386	43.18	893.93	3740
Taberg	4392	349.39	1257.05	1692
Tahult	585	65.89	887.84	4640
Tallvik	434	37.86	1146.33	8884
Tallåsen	586	142.28	411.86	7324
Tandsbyn	374	58.43	640.08	7984
Tanumshede	1697	187.48	905.16	4600
Tavelsjö	245	21.90	1118.72	8352
Teckomatorp	1651	121.94	1353.94	3744
Tenhult	2977	240.96	1235.47	1696
Tibro	8018	737.14	1087.72	5456
Tidaholm	8027	570.23	1407.68	5460
Tidan	935	132.34	706.51	5464
Tidö-Lindö	637	119.87	531.41	6342
Tierp	5587	410.73	1360.26	0640
Tillberga	2180	166.43	1309.86	6344
Timmele	847	121.01	699.94	5068
Timmernabben	1276	148.75	857.82	2424
Timmersdala	875	67.42	1297.83	5468
Timrå	10443	1202.53	868.42	7704
Timsfors	637	101.62	626.85	1988
Tingsryd	3037	354.38	856.99	1992
Tingstäde	265	115.63	229.18	2542
Tjautjas/Cavccas	234	63.69	367.40	8886
Tjuvkil	501	88.68	564.95	4604
Tjällmo	557	71.11	783.29	1292
Tjörnarp	731	118.32	617.82	3748
Toarp	219	13.32	1644.14	3750
Tobo	607	103.13	588.58	0648
Tofta	386	55.64	693.75	4112
Toftbyn	243	96.63	251.47	6814
Tollarp	3284	373.30	879.72	3108
Tollered	900	65.14	1381.64	5072
Tomelilla	6444	568.23	1134.05	3112
Torarp	263	79.31	331.61	2754
Torbjörntorp	475	74.04	641.55	5472
Torekov	863	178.10	484.56	3116
Torestorp	419	70.43	594.92	5076
Torhamn	423	102.15	414.10	2760
Tormestorp	1050	102.63	1023.09	3120
Torna Hällestad	584	37.82	1544.16	3480
Torpsbruk	334	65.41	510.63	1996
Torpshammar	444	163.23	272.01	7708
Torreby	215	31.36	685.59	4554
Torsby	4049	548.81	737.78	5844
Torsby	477	147.14	324.18	0366
Torsebro	270	64.02	421.74	3124
Torshälla huvud	492	138.74	354.62	0882
Torshälla	7612	563.77	1350.20	0880
Torsåker	899	121.74	738.46	7332
Torsång	666	108.04	616.44	6806
Torsås	1848	247.74	745.94	2428
Tortuna	459	62.18	738.18	6348
Torup	1183	162.85	726.44	4116
Tosseryd	223	26.75	833.64	5078
Totebo	239	49.97	478.29	2432
Totra	273	75.91	359.64	7336
Tranemo	3168	299.14	1059.04	5080
Tranholmen	338	41.06	823.19	0368
Transtrand	386	215.15	179.41	6808
Tranås	14197	1055.66	1344.85	1700
Traryd	660	157.87	418.07	2000
Trekanten	1422	194.07	732.73	2436
Trelleborg	28290	1365.73	2071.42	3752
Trollhättan	46457	2377.58	1953.96	5084
Trosa	5027	360.03	1396.27	0884
Trulsegården	211	17.07	1236.09	5086
Trädet	277	55.45	499.55	5088
Träslövsläge	2600	159.50	1630.09	4120
Trångsviken	288	64.27	448.11	7988
Tråvad	448	73.50	609.52	5476
Trödje	333	70.02	475.58	7340
Trönninge	1504	126.41	1189.78	4124
Trönninge	880	57.60	1527.78	4128
Tulebo	213	34.91	610.14	4602
Tumba	37852	1773.53	2134.27	0372
Tumbo	292	52.73	553.76	0886
Tumlehed	475	38.07	1247.70	4510
Tun	206	38.01	541.96	5480
Tuna	232	34.60	670.52	0374
Tuna	227	28.63	792.87	2440
Tunadal	360	177.23	203.13	7716
Tunnerstad	295	101.76	289.90	1708
Tureholm	260	95.05	273.54	0378
Tving	459	102.16	449.30	2764
Tvärskog	404	66.53	607.24	2444
Tvärålund	257	80.50	319.25	8356
Tvååker	2534	223.49	1133.83	4132
Tygelsjö	2710	122.34	2215.14	3756
Tylösand	399	51.11	780.67	4134
Tyringe	4658	395.38	1178.11	3128
Tystberga	828	92.31	896.98	0888
Täby	61272	2580.70	2374.24	0288
Täfteå	1231	131.23	938.05	8360
Täljö	387	91.67	422.17	0290
Tällberg	606	307.96	196.78	6816
Tärnaby	482	163.92	294.05	8364
Tärnsjö	1221	189.21	645.31	6352
Tävelsås	225	35.21	639.02	2002
Tågarp	431	42.05	1024.97	3760
Tånga och Rögle	223	42.55	524.09	3764
Tångaberg	468	46.84	999.15	4136
Töcksfors	1158	190.86	606.73	5848
Töllsjö	369	44.52	828.84	5092
Töre	1099	260.55	421.80	8896
Töreboda	4189	363.79	1151.49	5484
Törestorp	203	58.26	348.44	1714
Tösse	305	58.26	523.52	5096
Ucklum	255	29.96	851.13	4606
Uddebo	258	58.21	443.22	5100
Uddeholm	667	143.36	465.26	5852
Uddevalla	31212	1691.76	1844.94	4608
Uddheden	258	73.85	349.36	5856
Ullared	791	135.09	585.54	4140
Ullatti	213	157.27	135.44	8900
Ullervad	935	121.82	767.53	5488
Ullånger	626	97.76	640.34	7680
Ulricehamn	9787	623.00	1570.95	5104
Ulrika	200	36.87	542.45	1296
Ulvkälla	456	94.65	481.77	7996
Ulvåker	254	24.31	1044.84	5492
Umeå	79594	3415.23	2330.56	8372
Unbyn	468	75.28	621.68	8902
Undenäs	237	60.88	389.29	5496
Undersåker	438	80.69	542.82	8000
Unnaryd	759	125.95	602.62	4144
Upphärad	588	59.12	994.59	5108
Upplanda	364	102.95	353.57	0652
Upplands Väsby	37594	1416.82	2653.41	0384
Uppsala	140454	4877.38	2879.70	0656
Urshult	794	146.31	542.68	2004
Ursviken	3977	371.51	1070.50	8310
Utansjö	209	101.05	206.83	7720
Utby	267	40.63	657.15	5106
Utvälinge	227	24.47	927.67	3766
Vad	308	100.07	307.78	6820
Vadstena	5613	341.22	1644.98	1300
Vaggeryd	4920	479.65	1025.75	1720
Vagnhärad	3324	290.51	1144.19	0896
Valbo	7065	823.72	857.69	7344
Valdemarsvik	2772	288.95	959.34	1304
Valje	823	89.40	920.58	3136
Valla	1517	133.46	1136.67	0900
Vallargärdet	382	64.06	596.32	5860
Vallberga	657	86.68	757.96	4148
Vallda	1604	141.19	1136.06	4152
Vallentuna	29519	1595.50	1850.14	0388
Vallsta	277	69.38	399.25	7348
Vallvik	258	122.53	210.56	7352
Vallåkra	642	58.93	1089.43	3772
Valskog	694	89.04	779.42	6360
Vankiva	340	44.06	771.67	3140
Vannsätter	434	115.94	374.33	7356
Vansbro	2026	330.77	612.51	6828
Vansö kyrkby	202	21.08	958.25	0902
Vaplan	263	56.07	469.06	8002
Vara	3889	302.58	1285.28	5500
Varberg	27602	1335.45	2066.87	4156
Varekil	602	66.01	911.98	4610
Vargön	4919	351.05	1401.22	5112
Varnhem	707	79.57	888.53	5504
Vartofta	540	62.47	864.41	5508
Vassbäck	617	132.39	466.05	4158
Vassmolösa	535	136.41	392.20	2452
Vattholma	1427	116.09	1229.22	0660
Vattjom	477	91.96	518.70	7726
Vattnäs	294	72.21	407.15	6832
Vattubrinken	332	69.14	480.19	0390
Vaxholm	4857	163.97	2962.13	0392
Veberöd	4062	267.12	1520.66	3776
Veddige	2045	176.84	1156.41	4160
Vedevåg	656	146.43	448.00	6148
Vedum	926	106.67	868.10	5512
Vegby	549	80.13	685.14	5116
Veinge	1190	130.74	910.20	4164
Vejbystrand	2721	274.35	991.80	3144
Velanda	581	50.50	1150.50	5038
Vellinge	6304	316.69	1990.59	3780
Vemdalen	542	318.58	170.13	8008
Vena	367	79.15	463.68	2456
Venjan	295	201.29	146.55	6836
Vessigebro	740	102.62	721.11	4168
Vetlanda	13050	1017.02	1283.16	1724
Vi	4997	344.13	1452.07	7404
Vibble	1286	125.12	1027.81	2548
Viby	991	104.77	945.88	3148
Vickleby	320	72.64	440.53	2458
Vidja	682	174.33	391.21	0394
Vidsel	533	74.16	718.72	8904
Vidöåsen	272	30.30	897.69	5862
Vik	319	60.67	525.80	3152
Vika	445	59.85	743.53	6840
Vikarbyn	1171	256.88	455.85	6848
Viken	4227	244.67	1727.63	3784
Vikingstad	2096	161.03	1301.62	1308
Vikmanshyttan	843	154.13	546.94	6852
Viksjöfors	244	63.39	384.92	7360
Viksäter	459	63.12	727.19	0398
Vilhelmina	3657	354.13	1032.67	8376
Villshärad	656	84.57	775.69	4176
Vilshult	314	82.55	380.38	2772
Vimmerby	7934	755.50	1050.17	2460
Vinberg	592	44.69	1324.68	4180
Vinbergs kyrkby	208	64.29	323.53	4182
Vindeln	2333	296.13	787.83	8380
Vingåker	4282	386.85	1106.89	0904
Vinninga	1078	86.17	1251.02	5516
Vinnö	536	92.97	576.53	3156
Vinslöv	3984	415.51	958.82	3160
Vintrie	670	29.74	2252.86	3788
Vintrosa	1343	162.70	825.45	6152
Vinäs	329	87.39	376.47	6860
Virsbo	1517	204.71	741.05	6364
Virserum	1742	262.10	664.63	2464
Visby	22593	1244.28	1815.75	2552
Viskafors	3790	385.58	982.93	5120
Vislanda	1769	223.87	790.19	2012
Vissefjärda	670	114.69	584.18	2468
Vistträsk	248	42.62	581.89	8908
Vitaby	278	37.21	747.11	3164
Vittangi	784	226.78	345.71	8912
Vittaryd	318	70.99	447.95	2016
Vittinge	460	130.34	352.92	6368
Vittjärv	445	70.67	629.69	8916
Vittsjö	1665	265.28	627.64	3168
Vittskövle	235	40.35	582.40	3170
Vollsjö	836	95.06	879.44	3792
Vrena	626	97.20	644.03	0908
Vretstorp	842	183.21	459.58	6156
Vrigstad	1421	197.31	720.19	1728
Vrångö	364	39.61	918.96	4612
Vuollerim	732	201.95	362.47	8920
Väckelsång	905	123.30	733.98	2020
Väderstad	583	98.26	593.32	1316
Väggarp	211	13.34	1581.71	3830
Väjern	688	40.77	1687.52	4616
Väländan	469	118.01	397.42	0402
Väne-Åsaka	292	47.66	612.67	5128
Vänersborg	21699	1156.51	1876.25	5132
Vänge	1331	78.13	1703.57	0516
Vännäs	4118	327.53	1257.29	8384
Vännäsby	1552	187.07	829.64	8388
Väring	571	66.73	855.69	5520
Värmdö-Evlinge	559	124.44	449.21	0154
Värmlandsbro	501	86.04	582.29	5868
Värnamo	18696	1217.24	1535.93	1732
Värsås	578	64.17	900.73	5524
Väröbacka	630	94.88	664.00	4188
Väse	494	69.06	715.32	5872
Väskinde	337	39.82	846.31	2556
Västanvik	385	146.29	263.18	6872
Västerberg	242	70.16	344.93	7364
Västerby	368	57.58	639.11	6880
Västerfärnebo	477	96.13	496.20	6372
Västerhaninge	15134	931.56	1624.59	0404
Västerhejde	313	53.06	589.90	2560
Västerhus	326	101.35	321.66	7728
Västerljung	398	35.57	1118.92	0910
Västerlösa	206	44.99	457.88	1318
Västermyckeläng	279	84.69	329.44	6884
Västervik	21140	1291.50	1636.86	2472
Västerås	110877	5293.87	2094.44	6376
Västibyn	234	25.71	910.15	8390
Västra Bispgården	518	142.12	364.48	7808
Västra Bodarna	1059	205.04	516.48	5136
Västra Hagen	969	168.00	576.79	4224
Västra Husby	486	39.16	1241.06	1320
Västra Ingelstad	721	57.31	1258.07	3800
Västra Karaby	229	48.91	468.21	3802
Västra Karup	582	114.64	507.68	3172
Västra Klagstorp	279	27.41	1017.88	3804
Västra Tommarp	214	20.43	1047.48	3806
Västra Ämtervik	366	108.29	337.98	5876
Växjö	60887	3027.97	2010.82	2024
Vålberg	2770	386.03	717.56	5864
Våmhus	857	174.44	491.29	6864
Vånga	220	31.04	708.76	1310
Vårdsätra	237	28.42	833.92	0666
Vårgårda	5133	430.62	1192.00	5124
Vårsta	2396	132.65	1806.26	0396
Våxtorp	970	136.45	710.88	4184
Yngsjö	302	46.30	652.27	3180
Ysby	260	35.83	725.65	4190
Ystad	18350	865.48	2120.21	3808
Ytterhogdal	534	226.17	236.11	8012
Ytternäs och Vreta	636	145.98	435.68	0662
Yttersjö	384	87.70	437.86	8394
Ytterån	204	102.66	198.71	8016
Zinkgruvan	391	225.33	173.52	6160
Åby	4980	331.56	1501.99	1324
Åby	456	72.70	627.24	2028
Åbyggeby	811	145.02	559.23	7368
Åbytorp	755	113.82	663.33	6164
Åhus	9423	963.09	978.41	3184
Åkarp	5617	232.33	2417.68	3812
Åkers styckebruk	2891	302.63	955.29	0912
Åkersberga	28033	1626.69	1723.32	0408
Ålberga	247	45.17	546.82	0916
Åled	1634	202.27	807.83	4192
Ålem	803	115.43	695.66	2480
Åmmeberg	590	211.54	278.91	6168
Åmot	277	144.42	191.80	7372
Åmotfors	1410	260.23	541.83	5880
Åmsele	209	81.46	256.57	8392
Åmynnet	340	34.35	989.81	7732
Åmål	9065	753.67	1202.78	5140
Ånge	2872	359.80	798.22	7736
Ånäset	610	121.33	502.76	8396
Åre	1417	167.19	847.54	8024
Årjäng	3228	409.99	787.34	5884
Årstad	284	36.72	773.42	4196
Årsunda	1008	125.17	805.30	7376
Åryd	336	67.15	500.37	2776
Åryd	684	80.94	845.07	2032
Ås	1218	120.15	1013.73	8028
Ås	499	49.11	1016.09	6176
Åsa	3369	281.46	1196.97	4200
Åsarne	268	64.64	414.60	8032
Åsarp	598	88.22	677.85	5532
Åsbro	1164	217.35	535.54	6172
Åsby	423	64.26	658.26	4204
Åseda	2430	263.57	921.96	2036
Åsele	1798	337.93	532.06	8400
Åselstad	475	50.23	945.65	1326
Åsen	246	103.27	238.21	6892
Åsenhöga	210	37.24	563.91	1738
Åsensbruk	522	78.30	666.67	5144
Åshammar	727	170.50	426.39	7380
Åsljunga	659	107.85	611.03	3188
Åstol	210	14.80	1418.92	4624
Åstorp	9488	712.32	1331.99	3192
Återvall	206	35.26	584.23	0410
Åtorp	212	28.18	752.31	6178
Åtvidaberg	6859	542.03	1265.43	1328
Älandsbro	832	155.82	533.95	7740
Älgarås	417	97.04	429.72	5536
Älghult	446	93.55	476.75	2040
Älmhult	8955	878.26	1019.63	2048
Älmsta	1097	120.27	912.11	0412
Älta	9989	331.75	3011.00	0416
Älvdalen	1810	301.91	599.52	6896
Älvkarleby	1647	269.98	610.05	0664
Älvnäs	601	54.37	1105.39	0414
Älvsbyn	4967	635.28	781.86	8932
Älvsered	433	98.50	439.59	4212
Älvängen	4196	296.20	1416.61	5152
Äng	277	43.98	629.83	1740
Änge	314	55.78	562.93	8040
Ängelholm	23240	1283.34	1810.90	3196
Ängsholmen	222	58.68	378.32	0918
Ängsvik	403	19.06	2114.38	0418
Äppelbo	258	103.22	249.95	6900
Ärla	1270	140.48	904.04	0920
Äsköping	342	45.84	746.07	0924
Äspered	287	42.94	668.37	5156
Äsperöd	222	27.18	816.78	3816
Ätran	417	67.58	617.05	4216
Öbonäs	457	22.22	2056.71	1330
Öckerö	3488	242.42	1438.83	4628
Ödeborg	598	74.30	804.85	5160
Ödeshög	2572	241.05	1067.00	1332
Ödsmål	608	85.40	711.94	4630
Ödåkra	4920	304.60	1615.23	3820
Öggestorp	212	30.83	687.64	1742
Öjersjö	3543	193.41	1831.86	4631
Ölmanäs	886	94.35	939.06	4228
Ölmbrotorp	548	65.43	837.54	6184
Ölme	224	30.91	724.68	5888
Ölmstad	296	43.09	686.93	1448
Ölsta	267	76.09	350.90	0424
Önneköp	206	27.13	759.31	3834
Önnestad	1378	176.89	779.02	3200
Örbyhus	1984	158.02	1255.54	0672
Örebro	107038	4927.17	2172.40	6188
Öregrund	1555	244.37	636.33	0676
Örkelljunga	4818	564.37	853.70	3208
Örnsköldsvik	28991	2440.24	1188.04	7744
Örserum	322	45.18	712.70	1748
Örsjö	369	72.97	505.69	2484
Örslösa	307	40.78	752.82	5890
Örsundsbro	1813	164.68	1100.92	0680
Örtagården	460	34.71	1325.27	6382
Örtofta	202	50.42	400.63	3828
Örviken	395	98.76	399.96	8408
Ösmo	3911	219.37	1782.83	0420
Östadkulle	245	28.21	868.49	5162
Östansjö	868	139.35	622.89	6192
Östavall	222	90.02	246.61	7748
Österbybruk	2272	251.19	904.49	0684
Österbymo	834	125.58	664.12	1336
Österforse	204	89.73	227.35	7752
Österfärnebo	483	116.33	415.20	7384
Österhagen och Bergliden	213	22.14	962.06	0426
Österslöv	414	50.66	817.21	3216
Österstad	318	35.61	893.01	1340
Östersund	44327	2727.55	1625.16	8044
Östervåla	1595	182.63	873.35	6384
Östhammar	4534	376.42	1204.51	0688
Östhamra	255	77.72	328.10	0422
Östmark	216	105.45	204.84	5892
Östnor	534	125.04	427.06	6912
Östorp och Ådran	244	107.66	226.64	0406
Östra Bispgården	279	147.55	189.09	7806
Östra Frölunda	309	49.01	630.48	5164
Östra Grevie	598	44.47	1344.73	3832
Östra Husby	792	82.90	955.37	1344
Östra Kallfors	386	34.50	1118.84	0428
Östra Karup	594	85.21	697.10	3220
Östra Ljungby	935	100.05	934.53	3224
Östra Ryd	457	76.29	599.03	1348
Östra Sönnarslöv	294	68.18	431.21	3228
Östra Tommarp	284	49.42	574.67	3232
Östra Ånneröd	225	10.87	2069.92	4622
Östraby	200	26.92	742.94	3836
Överboda	218	51.00	427.45	8412
Överhörnäs	603	238.74	252.58	7756
Överkalix	975	106.06	919.29	8940
Överlida	525	90.47	580.30	5168
Övertorneå	1917	268.68	713.49	8944
Överum	1203	191.88	626.95	2488
Övre Soppero	201	132.71	151.46	8948
Övre Svartlå	201	44.81	448.56	8872
Öxabäck	300	41.98	714.63	5172
Öxeryd	491	87.13	563.53	5176
