Song title	Artist	Decade	Genre	Release date ( Xbox360 )	Release date ( PlayStation3 )	Release date ( Wii )
"Philip K. Ridiculous"	Hugh Cornwell	2000s	Rock	Oct.18,2010	No	No
"Refugee"	Scotty Don't	2000s	Rock	Oct.18,2010	No	No
"Soulless"	Fake Problems	2010s	Indie Rock	Oct.18,2010	No	No
" The Way You Move "	Since October	2010s	Rock	Oct.18,2010	No	No
"Bullet with a Name"	Nonpoint	2000s	Nu-Metal	Oct.22,2010	Jan.4,2011	Jan.4,2011
"Ceraunophobia"	Chaotrope	2010s	Metal	Oct.22,2010	No	No
"Dark Horse"	Converge	2000s	Metal	Oct.22,2010	Jan.25,2011	No
"Gabrielle"	Ween	2000s	Alternative	Oct.22,2010	Feb.1,2011	No
"Ghost I Own"	(Damn) This Desert Air	2010s	Alternative	Oct.22,2010	No	No
"P.W.M.O."	Shylo Elliott	2010s	Other	Oct.22,2010	No	No
" The Countdown "	Cliff Lin	2010s	Nu-Metal	Oct.22,2010	No	No
" The Waiting One "	All That Remains	2010s	Metal	Oct.22,2010	Jan.4,2011	No
"Worst Case Ontario"	The Roman Line	2000s	Country	Oct.22,2010	No	No
"Curtain Call"	Nations Afire	2000s	Rock	Oct.28,2010	No	No
"Fate of the Maiden"	Amberian Dawn	2000s	Metal	Oct.28,2010	Feb.1,2011	No
"Hold On"	All That Remains	2010s	Metal	Oct.28,2010	Dec.21,2010	No
"Industrialized"	Bluefusion	2000s	Prog	Oct.28,2010	No	No
"Let Us Slay"	Gwar	2000s	Metal	Oct.28,2010	Jan.11,2011	No
"Ride the Stache"	Graveyard BBQ	2000s	Metal	Oct.28,2010	No	No
"Runaway"	Lyrics for Monday	2000s	Punk	Oct.28,2010	No	No
"Tantrums of a Giant"	Madlife	2010s	Metal	Oct.28,2010	No	No
"Think Bad Thoughts"	Kay Hanley	2000s	Rock	Oct.28,2010	No	No
"Vacation"	Mike Belotti & Theo Christensen	2010s	Indie Rock	Oct.28,2010	No	No
"Veils"	Ludicra	2000s	Metal	Oct.28,2010	No	No
"Baptized by Fire"	Chaotrope	2010s	Metal	Nov.2,2010	No	No
" Berzerker "	After the Burial	2000s	Metal	Nov.2,2010	Jan.25,2011	No
"Jack and the Harlots"	The Asbestos	2010s	Rock	Nov.2,2010	No	No
" Obfuscation "	Between the Buried and Me	2000s	Metal	Nov.2,2010	Jan.4,2011	No
"Robots May Break Your Heart"	Riverboat Gamblers	2000s	Punk	Nov.2,2010	No	No
"Allegiance"	Blackguard	2000s	Metal	Nov.9,2010	June2,2011	No
"Best I Never Had"	The Downtown Fiction	2010s	Alternative	Nov.9,2010	Dec.14,2010	No
"I Just Wanna Run"	The Downtown Fiction	2010s	Alternative	Nov.9,2010	Dec.14,2010	No
"Let It Change"	Mystic Syntax	2010s	Metal	Nov.9,2010	No	No
"Smokahontas"	Attack Attack!	2010s	Metal	Nov.9,2010	Jan.11,2011	No
"Stevie"	Songs To Wear Pants To	2010s	Rock	Nov.9,2010	No	No
"Better Sleep"	Fatter Than Albert	2000s	Rock	Nov.16,2010	No	No
"For We Are Many"	All That Remains	2010s	Metal	Nov.16,2010	Jan.25,2011	No
"Linear A"	Free Electric State	2010s	Indie Rock	Nov.16,2010	No	No
"Living Saints"	Polar Bear Club	2000s	Punk	Nov.16,2010	No	No
"Oceans Between Us"	The Downtown Fiction	2010s	Alternative	Nov.16,2010	Dec.14,2010	No
"On Parole"	Sister Sin	2000s	Rock	Nov.16,2010	June2,2011	No
"Spira Mirabilis"	Kodomo	2000s	Urban	Nov.16,2010	No	No
"Two Minute Warning"	Hitman Blues Band	2000s	Blues	Nov.16,2010	No	No
" A Christmas Rock Medley "	Richard Campbell	2000s	Rock	Nov.23,2010	June2,2011	No
"Apocalypse for Breakfast"	Coelacanths	2010s	Other	Nov.23,2010	No	No
" Beyond Grey "	Silent Descent	2000s	Metal	Nov.23,2010	No	No
" Epitome of Misery "	Broken Equilibrium	2000s	Rock	Nov.23,2010	No	No
"Fox Hunt"	Larkspur	2010s	New Wave	Nov.23,2010	June7,2011	No
"I Still Feel Her, Part III"	Jonny Craig	2000s	Alternative	Nov.23,2010	Feb.15,2011	No
"Icon"	A t o m	2010s	New Wave	Nov.23,2010	No	No
"Lay Kenneth Lay"	Felsen	2010s	Alternative	Nov.23,2010	No	No
"Life Design"	The Parlotones	2000s	Alternative	Nov.23,2010	No	No
" Numb & Intoxicated "	Kataklysm	2010s	Metal	Nov.23,2010	Feb.22,2011	No
" Phantom Limb "	The Shins	2000s	Indie Rock	Nov.23,2010	Jan.25,2011	No
"Shut Up"	The Early Strike	2010s	Punk	Nov.23,2010	No	No
"Herlathing"	Morgawr	2010s	Metal	Nov.30,2010	No	No
"Lemon Meringue Tie"	Dance Gavin Dance	2000s	Indie Rock	Nov.30,2010	Apr.19,2011	No
"One More Time"	Big Kenny	2000s	Country	Nov.30,2010	No	No
" Alpha Strike "	Shylo Elliott	2010s	Metal	Dec.7,2010	No	No
" Angels We Have Heard on High "	Cate Sparks	2010s	Rock	Dec.7,2010	No	No
"Do You"	Portugal. The Man	2000s	Indie Rock	Dec.7,2010	No	No
"Endzeit"	Heaven Shall Burn	2000s	Metal	Dec.7,2010	Apr.19,2011	No
" Flag in the Ground "	Sonata Arctica	2000s	Metal	Dec.7,2010	Feb.15,2011	No
"Have Faith in Me"	A Day to Remember	2000s	Punk	Dec.7,2010	Feb.15,2011	No
"Lipstick Cigarette"	The Last Good Year	2000s	Rock	Dec.7,2010	No	No
"Lollytown"	Mike Phirman	2010s	Novelty	Dec.7,2010	No	No
"Me Elevas"	Judy Buendía y Los Impostores	2000s	Rock	Dec.7,2010	No	No
"Model Ships"	Rosaline	2010s	Punk	Dec.7,2010	June2,2011	No
" November "	Broken Equilibrium	2000s	Rock	Dec.7,2010	No	No
"Run Rabbit Run"	Hellfire Society	2000s	Metal	Dec.7,2010	No	No
"Saw Down (He Knows)"	D Money Pros	2010s	Urban	Dec.7,2010	No	No
"So Fine"	The Break Down	2000s	Urban	Dec.7,2010	No	No
"Strobe Lights"	Kill Hannah	2000s	Alternative	Dec.7,2010	No	No
" The Truth "	Kittie	2000s	Metal	Dec.7,2010	Mar.8,2011	No
"Alive and Kicking"	Nonpoint	2000s	Nu-Metal	Dec.9,2010	Feb.15,2011	No
"Drive"	Michael John Ahern	2010s	Country	Dec.9,2010	No	No
"Fashion Kills"	Sabrosa Purr	2010s	Indie Rock	Dec.9,2010	No	No
" Going Under "	Evanescence	2000s	Nu-Metal	Dec.9,2010	Feb.8,2011	No
"She's a Runaway"	Partially Poetic	2010s	Pop-Rock	Dec.9,2010	No	No
"Unbound Soul"	Dan Johansen	2010s	Metal	Dec.9,2010	No	No
"Vuvuzela Anthem"	Strayplay	2010s	Other	Dec.9,2010	No	No
"10 Signs You Should Leave"	Emmure	2000s	Metal	Dec.14,2010	Mar.15,2011	No
" [ & ] Delinquents "	Woe, Is Me	2010s	Metal	Dec.14,2010	Apr.12,2011	No
"Catalyst"	Raven Quinn	2010s	Rock	Dec.14,2010	No	No
" Creatures ov Deception "	Rainbowdragoneyes	2010s	Other	Dec.14,2010	No	No
"Determined (Vows of Vengeance) (2x Bass Pedal)"	Kataklysm	2010s	Metal	Dec.14,2010	No	No
"Do Yourself a Favor"	Comeback Kid	2010s	Punk	Dec.14,2010	June2,2011	No
" Donuts, Go Nuts! "	Matt 'Chainsaw' Chaney	2000s	Indie Rock	Dec.14,2010	No	No
"Escaping"	Driven By Entropy	2010s	Metal	Dec.14,2010	No	No
" Fallen "	Rain Dogs	2010s	Rock	Dec.14,2010	No	No
"Firewall"	Fear of Water	2000s	Nu-Metal	Dec.14,2010	No	No
"Hallway"	Bojibian	2000s	Indie Rock	Dec.14,2010	No	No
"Hey Baby, Here's That Song You Wanted"	Blessthefall	2000s	Alternative	Dec.14,2010	Mar.1,2011	No
"Jam"	Philip Franco	2010s	Rock	Dec.14,2010	No	No
"Rescue Spreaders"	Garage A Trois	2000s	Indie Rock	Dec.14,2010	No	No
"Stereo Stereo"	I Am King Tony	2010s	Punk	Dec.14,2010	No	No
"Swallow My Children"	BS (A. Whiteman)	2010s	Novelty	Dec.14,2010	No	No
" The Body "	Close Your Eyes	2010s	Punk	Dec.14,2010	June2,2011	No
" The Hounds of Anubis "	The Word Alive	2010s	Metal	Dec.14,2010	Feb.22,2011	No
" (Lone Wolf) Soccer Mom "	Blanks.	2000s	Indie Rock	Dec.21,2010	No	No
"Another Round"	Dirty Filthy Mugs	2010s	Punk	Dec.21,2010	No	No
"Cimmerian Shamballa"	Wretched	2010s	Metal	Dec.21,2010	June2,2011	No
"Esto ya lo Toqué Mañana"	Octavio Suñé	2010s	Pop-Rock	Dec.21,2010	No	No
"Eternal Divine Angel Death"	Daas Bosh	2010s	Metal	Dec.21,2010	No	No
"Gone Tomorrow"	Arkaea	2000s	Metal	Dec.21,2010	No	No
"Iceblind"	Freen in Green	2010s	Other	Dec.21,2010	No	No
"Lodger"	Blanks.	2000s	Indie Rock	Dec.21,2010	No	No
" Lost "	John Garrison	2000s	Alternative	Dec.21,2010	No	No
"No Pertenezco"	Incordiales	2010s	Rock	Dec.21,2010	No	No
"OaOaO"	The Taj Motel Trio	2000s	Rock	Dec.21,2010	No	No
"Party Like a Rock Star"	Big Engine	2000s	Rock	Dec.21,2010	No	No
"Pouncer"	Blanks.	2000s	Indie Rock	Dec.21,2010	No	No
"Power Patriot"	Garage A Trois	2000s	Indie Rock	Dec.21,2010	No	No
"Princess (Reprise)"	Lee DeWyze	2010s	Pop-Rock	Dec.21,2010	No	No
"Relentless Chaos"	Miss May I	2010s	Metal	Dec.21,2010	Mar.1,2011	No
" Splosion Man Theme Song "	Raging Meats	2000s	Rock	Dec.21,2010	No	No
"Stay Awake"	Faithful Darkness	2000s	Metal	Dec.21,2010	No	No
"Stop"	FeelAbouT	2010s	Pop-Rock	Dec.21,2010	No	No
" The Brave / Agony Applause "	Deadlock	2000s	Metal	Dec.21,2010	No	No
" The Clothes That Make the Man "	Graveyard BBQ	2000s	Metal	Dec.21,2010	No	No
" The Omen "	Heaven Shall Burn	2010s	Metal	Dec.21,2010	June2,2011	No
" The Serpentine Offering "	Dimmu Borgir	2000s	Metal	Dec.21,2010	Mar.1,2011	No
"Vault 101"	Kirby Krackle	2010s	Pop-Rock	Dec.21,2010	No	No
"What Morning Brings"	She Bears	2010s	Indie Rock	Dec.21,2010	No	No
"Alpha Strike (2x Bass Pedal)"	Shylo Elliott	2010s	Metal	Dec.29,2010	No	No
"Feast or Famine"	Within the Ruins	2010s	Metal	Dec.29,2010	Apr.19,2011	No
"Heart of Lilith 2010"	Inkubus Sukkubus	2010s	Glam	Dec.29,2010	No	No
" Humanity's Last Hope... "	Massive Slavery	2010s	Metal	Dec.29,2010	No	No
"Humanity's Last Hope... (2x Bass Pedal)"	Massive Slavery	2010s	Metal	Dec.29,2010	No	No
" The Cold Taste of Nickel Plated Steel "	All Hallow's Evil	2000s	Metal	Dec.29,2010	No	No
"Twister"	Scott Attrill	2000s	Other	Dec.29,2010	No	No
"Burn (2x Bass Pedal)"	Mike Orlando	2010s	Rock	Jan.6,2011	No	No
"Dawn of a Million Souls (Rock Band Mix)"	Ayreon	2000s	Prog	Jan.6,2011	June2,2011	No
"Epitome of Misery (2x Bass Pedal)"	Broken Equilibrium	2000s	Rock	Jan.6,2011	No	No
" Flag in the Ground (2x Bass Pedal)"	Sonata Arctica	2000s	Metal	Jan.6,2011	No	No
"Fractured (Everything I Said Was True)"	Taproot	2010s	Rock	Jan.6,2011	June2,2011	No
"November (2x Bass Pedal)"	Broken Equilibrium	2000s	Rock	Jan.6,2011	No	No
"Queen of the May 2010"	Inkubus Sukkubus	2010s	Glam	Jan.6,2011	No	No
"Special Effects"	Freezepop	2010s	New Wave	Jan.6,2011	No	No
" The Fire and the Fury "	Firewind	2000s	Metal	Jan.6,2011	Apr.12,2011	No
"2 Invade (Stadium Mix)"	Scott Attrill	2000s	Other	Jan.10,2011	No	No
"24-7"	The Pursuits	2010s	Indie Rock	Jan.10,2011	No	No
"All I Want"	A Day to Remember	2010s	Punk	Jan.10,2011	Mar.1,2011	No
"Clockwork"	HourCast	2010s	Rock	Jan.10,2011	No	No
"Creatures ov Deception (2x Bass Pedal)"	Rainbowdragoneyes	2010s	Other	Jan.10,2011	No	No
"It's Complicated"	A Day to Remember	2010s	Punk	Jan.10,2011	Mar.1,2011	No
"Lindisfarne"	Morgawr	2010s	Metal	Jan.10,2011	No	No
"Motorcide (2x Bass Pedal)"	Man Parts	2010s	Novelty	Jan.10,2011	No	No
"Reaper"	Chaotrope	2010s	Metal	Jan.10,2011	No	No
" The Healing "	Ivoryline	2010s	Rock	Jan.10,2011	No	No
"Til All Are One"	Stan Bush	2000s	Rock	Jan.10,2011	Apr.19,2011	No
" Years in the Darkness "	Arkaea	2000s	Metal	Jan.10,2011	No	No
"Battlesoul"	Battlesoul	2000s	Metal	Jan.11,2011	No	No
"Control"	BulletProof Messenger	2000s	Rock	Jan.11,2011	Mar.8,2011	No
" Nocturnal Wasteland "	Freen in Green	2010s	Other	Jan.11,2011	No	No
" Real "	Bumblefoot	2000s	Rock	Jan.11,2011	No	No
"Stay Here Forever"	The Material	2010s	Pop-Rock	Jan.11,2011	Mar.8,2011	No
" The Pale Rider "	The Riptides	2000s	Rock	Jan.11,2011	No	No
"Action/Adventure"	Memphis May Fire	2010s	Metal	Jan.13,2011	June3,2011	No
"Angel"	Hellfire Society	2000s	Metal	Jan.13,2011	No	No
" Forever the Martyr "	Dirge Within	2000s	Metal	Jan.13,2011	No	No
"In Case You Forgot"	Deception of a Ghost	2010s	Metal	Jan.13,2011	No	No
"La Fórmula"	Sintonía Retro	2010s	Rock	Jan.13,2011	No	No
"N.A.T.G.O.D."	Dååth	2010s	Metal	Jan.13,2011	June2,2011	No
"Numb & Intoxicated (2x Bass Pedal)"	Kataklysm	2010s	Metal	Jan.13,2011	No	No
"Something Face"	Sun Domingo	2000s	Alternative	Jan.13,2011	No	No
"Transmission Lost"	Terra Terra Terra	2000s	Alternative	Jan.13,2011	No	No
" White Knuckles - The Big Robot Remix"	OK Go	2010s	Other	Jan.13,2011	June2,2011	No
" A Slight Amplification "	Turrigenous	2000s	Metal	Jan.18,2011	No	No
"All I Need"	Monte Casino	2010s	Rock	Jan.18,2011	No	No
" At the Edge of the World "	Kataklysm	2010s	Metal	Jan.18,2011	June2,2011	No
"Beauty is Deceiving"	Grieve for Tomorrow	2010s	Emo	Jan.18,2011	No	No
"Beyond Grey (2x Bass Pedal)"	Silent Descent	2000s	Metal	Jan.18,2011	No	No
"Brand New Toy"	Blackberry River Band	2000s	Pop-Rock	Jan.18,2011	No	No
"Caíamos"	Octavio Suñé	2010s	Pop-Rock	Jan.18,2011	No	No
"Call Me"	The Riptides	2000s	Punk	Jan.18,2011	No	No
"Call to the Warrior"	Affiance	2010s	Metal	Jan.18,2011	No	No
"Creamskull Boogie"	Graveyard BBQ	2000s	Metal	Jan.18,2011	No	No
"Enemy"	First Blood	2010s	Punk	Jan.18,2011	No	No
"Falling Apart"	BSM	2010s	Rock	Jan.18,2011	No	No
"Hundred Wrathful Deities"	Evile	2000s	Metal	Jan.18,2011	No	No
"It's Gonna Be a Long Night"	Ween	2000s	Rock	Jan.18,2011	June2,2011	No
"Jamie All Over"	Mayday Parade	2000s	Rock	Jan.18,2011	Apr.12,2011	No
"Just Refrain"	Orange Avenue	2000s	Pop-Rock	Jan.18,2011	No	No
"Livin' Right"	DoubleShot	2000s	Rock	Jan.18,2011	No	No
"Lullaby"	Amberian Dawn	2000s	Metal	Jan.18,2011	No	No
" Marianas Trench "	August Burns Red	2000s	Metal	Jan.18,2011	No	No
"Marianas Trench (2x Bass Pedal)"	August Burns Red	2000s	Metal	Jan.18,2011	No	No
"Morning Star"	Amberian Dawn	2000s	Metal	Jan.18,2011	No	No
"Nightfall"	Nachtmystium	2010s	Metal	Jan.18,2011	June2,2011	No
"Nocturnal Wasteland (2x Bass Pedal)"	Freen in Green	2010s	Other	Jan.18,2011	No	No
"Rompecabezas"	Judy Buendía y Los Impostores	2000s	Rock	Jan.18,2011	No	No
"Sexual Man Chocolate"	Attack Attack!	2010s	Metal	Jan.18,2011	Apr.12,2011	No
"Sunrise"	Amberian Dawn	2000s	Metal	Jan.18,2011	No	No
" The Fall of Aphonia "	Children of Nova	2000s	Prog	Jan.18,2011	June7,2011	No
" The King is Dead "	Victory in Numbers	2010s	Pop-Rock	Jan.18,2011	No	No
" The Podium "	We Are The Illusion	2000s	Metal	Jan.18,2011	No	No
"Those in Glass Houses"	Of Mice & Men	2010s	Metal	Jan.18,2011	Apr.12,2011	No
"We Are Kings"	Crush Luther	2000s	Pop-Rock	Jan.18,2011	No	No
"We Collide"	Children of Nova	2000s	Prog	Jan.18,2011	June7,2011	No
"Abrogator"	Six-Stringed Flamberge	2000s	Rock	Jan.20,2011	No	No
"Autumns of Optimism"	Mystakin	2000s	Prog	Jan.20,2011	No	No
"Cheyne Stokes"	Chelsea Grin	2010s	Metal	Jan.20,2011	No	No
"Coat Rack"	Ride Your Bike	2010s	Indie Rock	Jan.20,2011	No	No
" Cursing Akhenaten "	After the Burial	2000s	Metal	Jan.20,2011	June2,2011	No
"Decadence"	Raven Quinn	2010s	Rock	Jan.20,2011	No	No
"Dog Like Vultures"	Haste the Day	2000s	Metal	Jan.20,2011	No	No
"Dominate and Overload"	Fracture	2010s	Metal	Jan.20,2011	No	No
"Lexington (Joey Pea-Pot With a Monkey Face)"	Chiodos	2000s	Emo	Jan.20,2011	Apr.12,2011	No
"New Revolution"	The Waking Hours	2000s	Rock	Jan.20,2011	No	No
"Second Sight Blackout"	Children of Nova	2000s	Prog	Jan.20,2011	June7,2011	No
"Shorty On The Floor"	Horporate	2010s	Urban	Jan.20,2011	No	No
" The Last Gasp "	Impaled	2000s	Metal	Jan.20,2011	No	No
" The Resonance "	Decrepit Birth	2010s	Metal	Jan.20,2011	June2,2011	No
"Undead Heart"	Vampires Everywhere!	2010s	Metal	Jan.20,2011	June2,2011	No
"Whites in Their Eyes"	Fiction Reform	2010s	Punk	Jan.20,2011	No	No
"XIV (2x Bass Pedal)"	Chaotrope	2010s	Metal	Jan.20,2011	No	No
"Years in the Darkness (2x Bass Pedal)"	Arkaea	2000s	Metal	Jan.20,2011	No	No
"5678"	Fake Problems	2010s	Indie Rock	Jan.25,2011	No	No
" Abraxas of Filth "	Cephalic Carnage	2010s	Metal	Jan.25,2011	No	No
"An Eluardian Instance"	Of Montreal	2000s	Indie Rock	Jan.25,2011	No	No
"Black and Sunny Day"	Glitzy Glow	2000s	Rock	Jan.25,2011	No	No
"Blasphemous"	Mystic Syntax	2010s	Metal	Jan.25,2011	No	No
"California"	Nova	2010s	Rock	Jan.25,2011	No	No
"Closer to the Sun"	Slightly Stoopid	2000s	Rock	Jan.25,2011	No	No
"Come On In"	The Pinstripes	2000s	Rock	Jan.25,2011	No	No
"Goin' Home"	KickBend	2010s	Rock	Jan.25,2011	No	No
"Hand Me Down"	Bright Midnight	2010s	Rock	Jan.25,2011	No	No
"Hanging By a Thread"	Jeff Orr	2000s	Rock	Jan.25,2011	No	No
"Hotel Saigon"	Bright Midnight	2010s	Rock	Jan.25,2011	No	No
"Icarus Lives"	Periphery	2010s	Metal	Jan.25,2011	June2,2011	No
"If I'm James Dean, You're Audrey Hepburn"	Sleeping with Sirens	2010s	Emo	Jan.25,2011	June2,2011	No
"Killers of the Worst Type"	Bright Midnight	2000s	Rock	Jan.25,2011	No	No
"Learn to Live"	Architects	2010s	Metal	Jan.25,2011	June2,2011	No
" Lift "	Poets of the Fall	2000s	Rock	Jan.25,2011	No	No
"Lost Boys"	MyChildren MyBride	2010s	Metal	Jan.25,2011	No	No
"Metamorphosis"	Evile	2000s	Metal	Jan.25,2011	No	No
"My Parasite"	Evile	2000s	Metal	Jan.25,2011	No	No
"New Addiction"	Dark From Day One	2010s	Alternative	Jan.25,2011	No	No
"On the Wall"	Molehill	2000s	Indie Rock	Jan.25,2011	No	No
"One-Night-Stand Man"	Daryle Stephen Ackerman	2000s	Pop-Rock	Jan.25,2011	No	No
"Samiam"	Mafia Track Suit	2010s	Alternative	Jan.25,2011	No	No
"Sons of Seven Stars"	Amberian Dawn	2000s	Metal	Jan.25,2011	No	No
"Step on the Throat"	C&O	2000s	Rock	Jan.25,2011	No	No
" The Brave / Agony Applause (2x Bass Pedal) "	Deadlock	2000s	Metal	Jan.25,2011	No	No
" The Fire and the Fury (2x Bass Pedal) "	Firewind	2000s	Metal	Jan.25,2011	No	No
" The Order "	Children of Nova	2000s	Prog	Jan.25,2011	June7,2011	No
"Arm Yourself"	BulletProof Messenger	2000s	Rock	Jan.28,2011	June3,2011	No
"Aspiration"	After the Burial	2000s	Metal	Jan.28,2011	No	No
"Butcher's Mouth"	Emery	2000s	Rock	Jan.28,2011	No	No
"Coolguy Deluxe!"	Kid Liberty	2010s	Punk	Jan.28,2011	No	No
"Holiday"	The Night Life	2000s	Punk	Jan.28,2011	No	No
"My Wings Are My Eyes"	Amberian Dawn	2000s	Metal	Jan.28,2011	No	No
"Ode to Logan"	No Bragging Rights	2000s	Punk	Jan.28,2011	No	No
"Pandemonium"	Chaotrope	2010s	Metal	Jan.28,2011	No	No
" The December Experience "	Lnk. Ken Kardashian	2010s	Metal	Jan.28,2011	No	No
" ZTO "	Devin Townsend	2000s	Metal	Jan.28,2011	No	No
"All or Nothing"	Cauldron	2010s	Metal	Feb.1,2011	No	No
"Around the World"	Robby Suavé	2000s	Rock	Feb.1,2011	No	No
"At the Edge of the World (2x Bass Pedal)"	Kataklysm	2010s	Metal	Feb.1,2011	No	No
" Bang "	Rockapella	2010s	Other	Feb.1,2011	No	No
"Barricades"	Lucid Grey	2010s	Rock	Feb.1,2011	No	No
"Bend"	New West	2000s	Indie Rock	Feb.1,2011	No	No
" Betrayed "	Chaotrope	2010s	Metal	Feb.1,2011	No	No
"Big Bad World One"	Jonathan Coulton	2000s	Rock	Feb.1,2011	No	No
"Bitten by the Rattlesnake"	Admiral of Black	2000s	Rock	Feb.1,2011	No	No
"Bizarro Genius Baby"	MC Frontalot	2000s	Urban	Feb.1,2011	No	No
"Bullet on a String"	Rotary Downs	2010s	Indie Rock	Feb.1,2011	No	No
"Cluster #2"	Jacob Chaney	2010s	Other	Feb.1,2011	No	No
"Couch Sitting Rattlesnake"	Stuedabakerbrown	2010s	Indie Rock	Feb.1,2011	No	No
" Fighting Spirit "	Bluefusion	2000s	Prog	Feb.1,2011	No	No
"Firehouse Bar"	Kylie D. Hart	2010s	Country	Feb.1,2011	No	No
"For the Strange"	Bright Midnight	2000s	Rock	Feb.1,2011	No	No
"Hassle: The Dorkening"	MC Frontalot	2000s	Urban	Feb.1,2011	No	No
"Hate to Say"	Common Anomaly	2000s	Punk	Feb.1,2011	No	No
"I Gotta Ride 2010"	Sam Morrison Band	2010s	Southern Rock	Feb.1,2011	No	No
"King of Frauds"	With Life in Mind	2010s	Metal	Feb.1,2011	No	No
"Last Suppit"	Lettuce	2000s	Rock	Feb.1,2011	No	No
"Light Up The Eyes"	These Three Poisons	2000s	Metal	Feb.1,2011	No	No
"Live to Rock"	Sideburn	2010s	Rock	Feb.1,2011	No	No
"Mind Diary"	Cloudscape	2000s	Metal	Feb.1,2011	No	No
"Plátanos Con Sangre"	Zakk Tremblay	2010s	Metal	Feb.1,2011	No	No
"Promised Land"	Rotary Downs	2010s	Indie Rock	Feb.1,2011	No	No
"Pylo the Pylon"	Alternative Deficit Disorder	2000s	Novelty	Feb.1,2011	No	No
"Radios Tweaking"	Felsen	2000s	Alternative	Feb.1,2011	No	No
"Secondary Gain"	Abraham Nixon	2010s	Rock	Feb.1,2011	No	No
"Steven Wells (He Was the Greatest)"	Akira the Don	2000s	Punk	Feb.1,2011	No	No
"Strong Tower"	Kutless	2000s	Rock	Feb.1,2011	No	No
"Too Much"	Soulive	2000s	Pop-Rock	Feb.1,2011	No	No
"Triceratops"	Big Light	2010s	Indie Rock	Feb.1,2011	No	No
"Two Utensils In One"	Felsen	2000s	Alternative	Feb.1,2011	No	No
"Volver a Nacer"	Arena	2010s	Punk	Feb.1,2011	No	No
" You Don't Know "	The Moth Complex	2010s	Pop-Rock	Feb.1,2011	No	No
"ZTO (2x Bass Pedal)"	Devin Townsend	2000s	Metal	Feb.1,2011	No	No
" A Fresh Start "	Mystakin	2010s	Prog	Feb.3,2011	No	No
"Abigail"	Motionless in White	2010s	Metal	Feb.3,2011	June2,2011	No
"Crinoline"	CyLeW	2000s	Alternative	Feb.3,2011	No	No
"District of Misery"	Oceano	2000s	Metal	Feb.3,2011	No	No
"Fighting Spirit (2x Bass Pedal)"	Bluefusion	2000s	Prog	Feb.3,2011	No	No
"For You"	Maplerun	2010s	Nu-Metal	Feb.3,2011	No	No
"Forever the Martyr (2x Bass Pedal)"	Dirge Within	2000s	Metal	Feb.3,2011	No	No
"Lamnidae"	This or the Apocalypse	2010s	Metal	Feb.3,2011	No	No
"Painprovider"	Cosmic Ballroom	2000s	Metal	Feb.3,2011	No	No
"Rational Animal/Layered Line"	Kiev	2000s	Alternative	Feb.3,2011	No	No
"Refraction"	Ricky Graham	2000s	Metal	Feb.3,2011	No	No
"Seed of Discord"	Hellfire Society	2000s	Metal	Feb.3,2011	No	No
"Skid Rock"	A Wilhelm Scream	2000s	Punk	Feb.3,2011	No	No
"Supernova"	High Voltage	2010s	Rock	Feb.3,2011	No	No
"Tea and Taxes"	Jenium	2000s	Indie Rock	Feb.3,2011	No	No
"Voodoo Treasure"	Majestic	2000s	Metal	Feb.3,2011	No	No
"We Are But Instruments"	Where the Ocean Meets the Sky	2010s	Metal	Feb.3,2011	No	No
" Your Treachery Will Die with You "	Dying Fetus	2000s	Metal	Feb.3,2011	No	No
"Your Treachery Will Die with You (2x Bass Pedal)"	Dying Fetus	2000s	Metal	Feb.3,2011	No	No
"Lights Out"	Minutes Like Ours	2010s	Rock	Feb.4,2011	No	No
"Live for Today"	Enemy Remains	2000s	Rock	Feb.4,2011	No	No
" The Podium (2x Bass Pedal) "	We Are The Illusion	2000s	Metal	Feb.4,2011	No	No
"Abraxas of Filth (2x Bass Pedal)"	Cephalic Carnage	2010s	Metal	Feb.8,2011	No	No
" Burn "	Captor	2000s	Nu-Metal	Feb.8,2011	No	No
"Come Outside"	Anybody Who's Anybody	2010s	Rock	Feb.8,2011	No	No
"Disco Ball"	Those Among Us	2010s	Rock	Feb.8,2011	No	No
"Passion of My Life"	Perfect Hero	2010s	Metal	Feb.8,2011	No	No
"Septilogy"	Chaotrope	2010s	Metal	Feb.8,2011	No	No
"Shed the Blood"	Nightrage	2000s	Metal	Feb.8,2011	No	No
"Spyglass"	Lost in the Crawlspace	2000s	Punk	Feb.8,2011	No	No
" The Collapse of Men "	With Life in Mind	2010s	Metal	Feb.8,2011	No	No
" The Resonance (2x Bass Pedal) "	Decrepit Birth	2010s	Metal	Feb.8,2011	No	No
"Afflicted"	The Fetals	2000s	Metal	Feb.15,2011	No	No
"Becoming Blue"	Moving Atlas	2010s	Prog	Feb.15,2011	No	No
"Berzerker (2x Bass Pedal)"	After the Burial	2000s	Metal	Feb.15,2011	No	No
"Close to Home"	Jenium	2000s	Indie Rock	Feb.15,2011	No	No
"Collision of Fate"	Nightrage	2000s	Metal	Feb.15,2011	No	No
"Cool As the Other Side of the Pillow"	The Cold Goodnight	2000s	Alternative	Feb.15,2011	No	No
"Creative Warrior"	DoubleShot	2000s	Rock	Feb.15,2011	No	No
"Cursing Akhenaten (2x Bass Pedal)"	After the Burial	2000s	Metal	Feb.15,2011	No	No
"Damnation"	Warpath	2000s	Metal	Feb.15,2011	No	No
