Urban area (locality)	Municipality	Population	Land area (hectares)	Density (inh./km²)	Code
Läby	Uppsala Municipality	220	29.85	737.02	590
Läckeby	Kalmar Municipality	847	101.88	831.37	2316
Länghem	Tranemo Municipality	989	102.97	960.47	4940
Länna	Uppsala Municipality	685	95.15	719.92	592
Lärbro	Gotland Municipality	484	116.70	414.74	2528
Långasjö	Emmaboda Municipality	348	75.00	464.00	2312
Långsele	Sollefteå Municipality	1584	244.91	646.77	7572
Långshyttan	Hedemora Municipality	1671	327.54	510.17	6632
Långvik	Värmdö Municipality	559	99.52	561.70	234
Långviksmon	Örnsköldsvik Municipality	221	63.83	346.23	7576
Långås	Falkenberg Municipality	534	71.47	747.17	4040
Låssby	Gothenburg Municipality	251	30.94	811.25	4498
Löberöd	Eslöv Municipality Höör Municipality	1127	77.21	1459.66	3588
Löddeköpinge	Kävlinge Municipality	6290	361.56	1739.68	3592
Löderup	Ystad Municipality	550	62.77	876.21	3596
Lödöse	Lilla Edet Municipality	1266	127.75	991.00	4944
Löftaskog	Varberg Municipality	327	81.53	401.08	4042
Lögdeå	Nordmaling Municipality	394	115.65	340.68	8236
Lönsboda	Osby Municipality	1903	228.31	833.52	3000
Lörby	Sölvesborg Municipality	264	73.77	357.87	2692
Löttorp	Borgholm Municipality	438	127.54	343.42	2324
Lövestad	Sjöbo Municipality	643	74.64	861.47	3600
Lövstalöt	Uppsala Municipality	1046	70.70	1479.49	596
Lövånger	Skellefteå Municipality	761	131.61	578.22	8240
Löwenströmska lasarettet	Upplands Väsby Municipality	518	75.94	682.12	236
Madängsholm	Tidaholm Municipality	425	81.28	522.88	5368
Mala	Hässleholm Municipality	217	58.99	367.86	3008
Malmberget	Gällivare Municipality	5590	738.67	756.77	8732
Malmbäck	Nässjö Municipality	1031	145.67	707.76	1584
Malmköping	Flen Municipality	1977	130.62	1513.55	796
Malmslätt	Linköping Municipality	5214	262.67	1985.00	1172
Malmö	Malmö Municipality Burlöv Municipality	280415	7681.36	3650.59	3604
Maln	Hudiksvall Municipality	213	34.82	611.72	7204
Malung	Malung-Sälen Municipality	5126	938.53	546.17	6636
Malungsfors	Malung-Sälen Municipality	560	258.37	216.74	6640
Malå	Malå Municipality	2050	261.12	785.08	8244
Mantorp	Mjölby Municipality	3671	334.83	1096.38	1176
Marbäck	Ulricehamn Municipality	474	62.78	755.02	4948
Margretetorp	Ängelholm Municipality	214	35.81	597.60	3010
Mariannelund	Eksjö Municipality	1468	219.32	669.34	1588
Marieby	Östersund Municipality	236	81.90	288.16	7910
Mariedal	Upplands Bro Municipality	297	73.87	402.06	242
Mariefred	Strängnäs Municipality	3726	250.52	1487.31	800
Marieholm	Eslöv Municipality	1598	127.07	1257.57	3608
Marielund	Haparanda Municipality	1726	116.79	1477.87	8734
Marielund	Strängnäs Municipality	416	21.34	1949.39	798
Mariestad	Mariestad Municipality	15591	1096.95	1421.30	5372
Markaryd	Markaryd Municipality	3966	490.26	808.96	1940
Marma	Älvkarleby Municipality	298	68.33	436.12	600
Marmaskogen	Söderhamn Municipality	253	28.76	879.69	7212
Marmaverken	Söderhamn Municipality	371	111.62	332.38	7208
Marmorbyn	Vingåker Municipality	382	48.65	785.20	802
Marstrand	Kungälv Municipality	1319	87.51	1507.26	4504
Matfors	Sundsvall Municipality	3201	324.72	985.77	7580
Medle	Skellefteå Municipality	552	144.19	382.83	8248
Medåker	Arboga Municipality	224	52.09	430.02	6272
Mehedeby	Tierp Municipality	463	71.62	646.47	604
Mellansel	Örnsköldsvik Municipality	827	232.80	355.24	7584
Mellbystrand	Laholm Municipality	1619	270.58	598.34	4044
Mellerud	Mellerud Municipality	3750	309.76	1210.61	4952
Mellösa	Flen Municipality	535	87.18	613.67	804
Merlänna	Strängnäs Municipality	356	45.53	781.90	806
Misterhult	Oskarshamn Municipality	203	35.68	568.95	2328
Mjällby	Sölvesborg Municipality	1254	166.53	753.02	2696
Mjällom	Kramfors Municipality	275	70.57	389.68	7588
Mjöbäck	Svenljunga Municipality	294	69.71	421.75	4956
Mjöhult	Höganäs Municipality	292	36.81	793.26	3612
Mjölby	Mjölby Municipality	12245	845.49	1448.27	1180
Mjönäs	Hagfors Municipality	217	74.61	290.85	5752
Mockfjärd	Gagnef Municipality	1937	350.32	552.92	6644
Mogata	Söderköping Municipality	301	36.22	831.03	1184
Mohed	Söderhamn Municipality	393	103.09	381.22	7214
Moheda	Alvesta Municipality	1824	225.79	807.83	1944
Moholm	Töreboda Municipality	640	107.78	593.80	5376
Moliden	Örnsköldsvik Municipality	300	62.97	476.42	7592
Molkom	Karlstad Municipality	1863	242.61	767.90	5756
Mollösund	Orust Municipality	236	35.56	663.67	4508
Mora	Mora Municipality	10896	1235.57	881.86	6648
Mora	Säter Municipality	817	95.72	853.53	6652
Morgongåva	Heby Municipality	1409	159.08	885.72	6276
Morjärv	Kalix Municipality	201	96.43	208.44	8740
Morup	Falkenberg Municipality	259	52.92	489.42	4052
Moskosel	Arvidsjaur Municipality	232	91.52	253.50	8744
Motala	Motala Municipality	29823	1928.62	1546.34	1188
Mullhyttan	Lekeberg Municipality	503	145.27	346.25	6056
Mullsjö	Mullsjö Municipality	5452	505.15	1079.28	5380
Munga	Västerås Municipality	212	55.32	383.22	6278
Munka-Ljungby	Ängelholm Municipality	2840	223.32	1271.72	3012
Munkedal	Munkedal Municipality	3718	540.94	687.32	4512
Munkfors	Munkfors Municipality Hagfors Municipality	3054	731.10	417.73	5760
Munktorp	Köping Municipality	455	83.47	545.11	6280
Muskö	Haninge Municipality	261	29.69	879.08	238
Myckle	Skellefteå Municipality	355	69.03	514.27	8252
Myggenäs	Tjörn Municipality	1230	122.29	1005.81	4516
Myresjö	Vetlanda Municipality	646	90.54	713.50	1600
Myrviken	Berg Municipality	239	33.92	704.60	7912
Mysingsö	Oskarshamn Municipality	385	31.11	1237.54	2330
Mysterna	Gothenburg Municipality	3418	107.28	3186.06	4518
Märsta	Sigtuna Municipality	24068	764.17	3149.56	240
Målerås	Nybro Municipality	211	82.99	254.25	2332
Målilla	Hultsfred Municipality	1524	325.63	468.02	2336
Målsryd	Borås Municipality	907	98.59	919.97	4960
Månkarbo	Tierp Municipality	666	91.21	730.18	608
Måttsund	Luleå Municipality	558	103.52	539.03	8752
Möklinta	Sala Municipality	358	98.67	362.83	6284
Mölle	Höganäs Municipality	715	72.40	987.57	3616
Mölltorp	Karlsborg Municipality	1050	129.89	808.38	5384
Mölnbo	Södertälje Municipality	1052	116.03	906.66	244
Mölnlycke	Härryda Municipality Mölndal Municipality	15608	809.67	1927.70	4520
Mönsterås	Mönsterås Municipality	4731	410.09	1153.65	2340
Mörarp	Helsingborg Municipality	1893	114.89	1647.66	3620
Mörbylånga	Mörbylånga Municipality	1780	244.23	728.82	2344
Mörlunda	Hultsfred Municipality	838	219.36	382.02	2348
Mörrum	Karlshamn Municipality	3695	344.20	1073.50	2700
Mörsil	Åre Municipality	686	121.79	563.26	7916
Mörtnäs	Värmdö Municipality	1511	183.54	823.25	248
Naglarby och Enbacka	Säter Municipality	961	120.53	797.31	6492
Nedansjö	Sundsvall Municipality	257	44.01	583.96	7596
Nedre Gärdsjö	Rättvik Municipality	225	67.29	334.37	6660
Nikkala	Haparanda Municipality	435	123.36	352.63	8768
Nissafors	Gnosjö Municipality	285	62.27	457.68	1604
Nitta	Ulricehamn Municipality	354	30.34	1166.78	4968
Njurundabommen	Sundsvall Municipality	1983	216.23	917.08	7600
Njutånger	Hudiksvall Municipality	885	178.84	494.86	7216
Nogersund	Sölvesborg Municipality	495	51.67	958.00	2704
Nolvik	Gothenburg Municipality	1025	87.76	1167.96	4522
Nora	Nora Municipality	6526	645.07	1011.67	6060
Norberg	Norberg Municipality	4518	809.18	558.34	6292
Nordanö	Avesta Municipality	435	46.52	935.08	6664
Nordingrå	Kramfors Municipality	306	64.85	471.86	7604
Nordkroken	Vänersborg Municipality	423	39.94	1059.09	4974
Nordmaling	Nordmaling Municipality	2546	308.28	825.87	8256
Nordmark	Filipstad Municipality	225	162.80	138.21	5764
Nore	Ljusdal Municipality	411	50.40	815.48	7220
Norje	Sölvesborg Municipality	657	98.81	664.91	2708
Norr Amsberg	Borlänge Municipality	236	82.61	285.68	6666
Norr-Hede	Härjedalen Municipality	261	79.49	328.34	7920
Norra Bro	Örebro Municipality	687	73.24	938.01	6064
Norra Lagnö	Värmdö Municipality	332	88.38	375.65	250
Norra Riksten	Botkyrka Municipality	839	39.26	2137.04	282
Norra Rörum	Höör Municipality	204	33.98	600.35	3622
Norra Visby	Gotland Municipality	453	88.16	513.84	2506
Norra Åsum	Kristianstad Municipality	1264	148.35	852.04	3016
Norrfjärden	Piteå Municipality	1362	189.24	719.72	8776
Norrhult-Klavreström	Uppvidinge Municipality Växjö Municipality	1215	280.23	433.57	1948
Norrköping	Norrköping Municipality	87247	3567.55	2445.57	1192
Norrlandet	Gävle Municipality	329	114.20	288.09	7224
Norrskedika	Östhammar Municipality	214	60.46	353.95	610
Norrsundet	Gävle Municipality	968	223.78	432.57	7228
Norrtälje	Norrtälje Municipality	17275	753.70	2292.03	252
Norrö	Österåker Municipality	305	63.15	482.98	256
Norsesund	Alingsås Municipality Lerum Municipality	274	64.78	422.97	4972
Norsholm	Norrköping Municipality	615	79.94	769.33	1196
Norsjö	Norsjö Municipality	2051	240.28	853.59	8268
Nossebro	Essunga Municipality	1846	184.65	999.73	5388
Nusnäs	Mora Municipality	729	216.77	336.30	6672
Nya Långenäs	Härryda Municipality	268	23.31	1149.72	4526
Nyborg	Kalix Municipality	833	169.81	490.55	8928
Nybro	Nybro Municipality	12810	1092.55	1172.49	2352
Nybrostrand	Ystad Municipality	810	83.26	972.86	3632
Nygård	Lilla Edet Municipality	419	67.00	625.37	4978
Nygårds hagar	Nykvarn Municipality	328	38.59	849.96	262
Nyhammar	Ludvika Municipality	654	175.79	372.03	6676
Nykil	Linköping Municipality	321	36.77	872.99	1200
Nykroppa	Filipstad Municipality	846	245.42	344.72	5772
Nykvarn	Nykvarn Municipality	6497	439.33	1478.84	260
Nykyrka	Motala Municipality	414	49.74	832.33	1204
Nyköping	Nyköping Municipality	29891	1343.30	2225.19	812
Nyland	Kramfors Municipality	903	262.52	343.97	7616
Nymölla	Bromölla Municipality	272	114.65	237.24	3020
Nynäshamn	Nynäshamn Municipality	13510	667.58	2023.73	264
Nälden	Krokom Municipality	873	128.78	677.90	7932
Näs bruk	Avesta Municipality	207	57.56	359.62	6684
Nässjö	Nässjö Municipality	16678	1143.66	1458.30	1608
Näsum	Bromölla Municipality	1117	119.58	934.10	3024
Näsviken	Hudiksvall Municipality	924	182.53	506.22	7232
Näsviken	Strömsund Municipality	203	64.88	312.89	7934
Näsåker	Sollefteå Municipality	513	97.87	524.16	7620
Nättraby	Karlskrona Municipality	3109	276.76	1123.36	2712
Nävekvarn	Nyköping Municipality	795	111.49	713.07	816
Nävragöl	Karlskrona Municipality	210	32.11	654.00	2716
Nås	Vansbro Municipality	417	170.84	244.09	6680
Nöbbele	Växjö Municipality	257	55.96	459.26	1952
Nödinge-Nol	Ale Municipality	9822	598.67	1640.64	4976
Obbola	Umeå Municipality	2197	256.08	857.94	8280
Ockelbo	Ockelbo Municipality	2724	416.57	653.91	7236
Odensbacken	Örebro Municipality	1374	146.76	936.22	6076
Odensberg	Falköping Municipality	287	31.51	910.82	5392
Odensjö	Jönköping Municipality	2495	182.13	1369.90	1612
Oleby	Torsby Municipality	353	110.79	318.62	5780
Olofstorp	Gothenburg Municipality	3378	251.44	1343.46	4528
Olofström	Olofström Municipality	7327	704.42	1040.15	2720
Olsfors	Bollebygd Municipality	623	55.96	1113.30	4984
Olshammar	Askersund Municipality	271	84.75	319.76	6080
Olstorp	Lerum Municipality	1281	165.45	774.25	4986
Onsala	Kungsbacka Municipality	11951	1052.96	1134.99	4054
Onslunda	Tomelilla Municipality	490	49.85	982.95	3028
Ope	Östersund Municipality	453	84.71	534.77	7936
Optand	Östersund Municipality	257	64.08	401.06	7942
Ormanäs och Stanstorp	Höör Municipality	438	143.94	304.29	3634
Ornäs	Borlänge Municipality	1068	94.83	1126.23	6692
Orrefors	Nybro Municipality	719	123.02	584.46	2356
Orrviken	Östersund Municipality	262	55.49	472.16	7938
Orsa	Orsa Municipality	5308	1258.67	421.71	6696
Osby	Osby Municipality	7157	826.82	865.61	3032
Osbyholm	Hörby Municipality	269	40.20	669.15	3636
Oskar-Fredriksborg	Vaxholm Municipality	722	131.20	550.30	268
Oskarshamn	Oskarshamn Municipality	17258	1310.01	1317.39	2360
Oskarström	Halmstad Municipality	4071	349.06	1166.28	4056
Ostvik	Skellefteå Municipality	387	73.33	527.75	8284
Otterbäcken	Gullspång Municipality	722	146.62	492.43	5396
Ovanåker	Ovanåker Municipality	212	70.00	302.86	7240
Ovesholm	Kristianstad Municipality	299	19.00	1573.68	3034
Oxelösund	Oxelösund Municipality	10870	1157.12	939.40	820
Oxie	Malmö Municipality	11493	429.22	2677.65	3640
Pajala	Pajala Municipality	1958	377.83	518.22	8780
Parksidan	Ekerö Municipality	494	22.78	2168.57	182
Pauliström	Vetlanda Municipality	221	62.32	354.62	1620
Persberg	Filipstad Municipality	313	147.13	212.74	5784
Persbo	Ludvika Municipality	344	130.90	262.80	6920
Pershagen	Södertälje Municipality	2216	93.38	2373.10	272
Perstorp	Perstorp Municipality	5665	543.05	1043.18	3036
Persön	Luleå Municipality	223	45.31	492.17	8788
Pilgrimstad	Bräcke Municipality	386	63.18	610.95	7944
Piperskärr	Västervik Municipality	551	63.37	869.50	2364
Piteå	Piteå Municipality	22913	2473.64	926.29	8792
Porjus	Jokkmokk Municipality	328	73.83	444.26	8796
Pukavik	Sölvesborg Municipality Karlshamn Municipality	279	60.76	459.18	2724
Påarp	Helsingborg Municipality	2789	159.70	1746.40	3644
Pålsboda	Hallsberg Municipality	1552	146.43	1059.89	6088
Påläng	Kalix Municipality	278	88.66	313.56	8804
Påryd	Kalmar Municipality	651	115.18	565.20	2368
Påskallavik	Oskarshamn Municipality	1083	112.38	963.69	2372
Rabbalshede	Tanum Municipality	275	58.34	471.37	4532
Raksta	Tyresö Municipality	746	179.42	415.78	274
Ramdala	Karlskrona Municipality	217	41.90	517.90	2728
Ramnäs	Surahammar Municipality	1465	213.68	685.60	6296
Ramsberg	Lindesberg Municipality	257	127.97	200.83	6092
Ramsele	Sollefteå Municipality	968	196.67	492.20	7628
Ramstalund	Uppsala Municipality	311	23.17	1342.25	606
Ramvik	Härnösand Municipality Kramfors Municipality	691	188.92	365.76	7632
Ransta	Sala Municipality	881	107.15	822.21	6300
Rappestad	Linköping Municipality	235	32.76	717.34	1212
Reftele	Gislaved Municipality	1282	159.86	801.95	1624
Rejmyre	Finspång Municipality	900	114.79	784.04	1216
Rengsjö	Bollnäs Municipality	264	58.56	450.82	7252
Repbäcken	Borlänge Municipality	220	66.84	329.14	6704
Resarö	Vaxholm Municipality	2946	309.90	950.63	276
Revingeby	Lund Municipality	545	65.37	833.72	3648
Riala	Norrtälje Municipality	215	54.49	394.57	278
Riddarhyttan	Skinnskatteberg Municipality	431	156.14	276.03	6304
Rimbo	Norrtälje Municipality	4629	257.15	1800.12	280
Rimforsa	Kinda Municipality	2238	212.57	1052.83	1220
Ringarum	Valdemarsvik Municipality	577	92.25	625.47	1224
Ringsegård	Falkenberg Municipality	446	50.25	887.56	4058
Rinkaby	Kristianstad Municipality	745	110.53	674.03	3040
Rinkabyholm	Kalmar Municipality	1607	120.66	1331.84	2376
Risögrund	Kalix Municipality	697	90.83	767.37	8812
Rixö	Lysekil Municipality	357	123.54	288.98	4540
Robertsfors	Robertsfors Municipality	2004	215.19	931.27	8292
Rockhammar	Lindesberg Municipality	270	99.67	270.89	6096
Rockneby	Kalmar Municipality	869	163.33	532.05	2380
Roknäs	Piteå Municipality	1238	305.36	405.42	8816
Rolfhamre och Måga	Ljusdal Municipality	215	51.69	415.94	7210
Rolfs	Kalix Municipality	1061	207.75	510.71	8820
Rolfstorp	Varberg Municipality	513	74.84	685.46	4060
Roma kyrkby (Lövsta)	Gotland Municipality	261	89.28	292.34	2534
Roma (Romakloster)	Gotland Municipality	913	125.63	726.74	2532
Ronneby	Ronneby Municipality	12029	774.95	1552.23	2732
Ronnebyhamn	Ronneby Municipality	537	129.89	413.43	2734
Rosenfors	Hultsfred Municipality	281	70.83	396.72	2384
Rosenlund	Tranemo Municipality	316	33.70	937.69	4988
Rosersberg	Sigtuna Municipality	1671	183.62	910.03	284
Rossön	Strömsund Municipality	352	153.53	229.27	7948
Rosvik	Piteå Municipality	1735	192.84	899.71	8824
Rot	Älvdalen Municipality	695	264.93	262.33	6708
Roteberg	Ovanåker Municipality	393	80.87	485.97	7256
Rottne	Växjö Municipality	2354	187.79	1253.53	1956
Rottneros	Sunne Municipality	448	158.11	283.35	5788
Ruda	Högsby Municipality	613	119.81	511.64	2388
Rundvik	Nordmaling Municipality	817	183.20	445.96	8296
Runemo	Ovanåker Municipality	263	66.43	395.91	7258
Runhällen	Heby Municipality	217	49.81	435.66	6308
Runtuna	Nyköping Municipality	250	34.98	714.69	828
Rusksele	Lycksele Municipality	200	63.31	315.91	8300
Rutvik	Luleå Municipality	839	73.76	1137.47	8828
Rya	Härryda Municipality	290	61.83	469.03	4542
Ryd	Tingsryd Municipality	1415	206.32	685.83	1960
Rydaholm	Värnamo Municipality	1474	149.05	988.93	1632
Rydal	Mark Municipality	402	54.88	732.51	4992
Rydbo	Österåker Municipality	582	35.10	1658.12	292
Rydboholm	Borås Municipality	1023	125.70	813.84	4996
Rydebäck	Helsingborg Municipality Landskrona Municipality	5141	208.44	2466.42	3652
Rydsgård	Skurup Municipality	1361	116.44	1168.84	3656
Rydsnäs	Ydre Municipality	277	74.67	370.97	1228
Rydöbruk	Hylte Municipality	388	113.74	341.13	4068
Ryssby	Ljungby Municipality	707	109.57	645.25	1964
Rälla	Borgholm Municipality	407	79.64	511.05	2266
Rängs sand	Vellinge Municipality	808	55.69	1450.89	3658
Ränneslöv	Laholm Municipality	413	69.43	594.84	4072
Rättarboda	Upplands-Bro Municipality	237	36.06	657.24	286
Rättvik	Rättvik Municipality	4686	834.31	561.66	6716
Rävemåla	Tingsryd Municipality	294	61.26	479.92	1968
Rävlanda	Härryda Municipality	1462	146.37	998.84	4544
Råby	Håbo Municipality	885	91.94	962.58	618
Råda	Hagfors Municipality	448	101.38	441.90	5792
Råneå	Luleå Municipality	1912	205.48	930.50	8832
Rångedala	Borås Municipality	392	73.47	533.55	5000
Rånnaväg	Ulricehamn Municipality	336	49.35	680.85	5004
Rånäs	Norrtälje Municipality	428	54.94	779.03	294
Röbäck	Umeå Municipality	2230	118.78	1877.42	8304
Röda holme	Kungsbacka Municipality	279	49.83	559.90	3898
Rödbo	Gothenburg Municipality	278	40.55	685.57	4546
Rödeby	Karlskrona Municipality	3402	332.51	1023.13	2736
Röfors	Laxå Municipality	207	109.92	188.32	6100
Röke	Hässleholm Municipality	219	66.36	330.02	3044
Rönneshytta	Askersund Municipality	283	71.31	396.86	6104
Rönnäng	Tjörn Municipality	1437	157.27	913.72	4548
Rörvik	Sävsjö Municipality	523	92.57	564.98	1636
Rörö	Öckerö Municipality	269	52.76	509.86	4552
Röstånga	Svalöv Municipality	839	131.61	637.49	3660
Sala	Sala Municipality	12289	1101.42	1115.74	6312
Salbohed	Sala Municipality	259	75.39	343.55	6316
Saleby	Lidköping Municipality	232	47.90	484.34	5404
Saltsjöbaden	Nacka Municipality	9491	541.94	1751.30	296
Saltvik	Oskarshamn Municipality	352	26.13	1347.11	2394
Sandared	Borås Municipality	3160	255.11	1238.68	5008
Sandarne	Söderhamn Municipality	2067	475.73	434.49	7268
Sandhem	Mullsjö Municipality	702	132.45	530.01	5408
Sandhult	Borås Municipality	608	55.14	1102.65	5012
Sandskogen	Kävlinge Municipality	621	56.89	1091.58	3662
Sandslån	Kramfors Municipality	272	109.50	248.40	7636
Sandviken	Sandviken Municipality	22965	1565.98	1466.49	7272
Sandviken	Södertälje Municipality	338	71.55	472.40	310
Sangis	Kalix Municipality	572	247.86	230.78	8836
Sankt Olof	Simrishamn Municipality	624	73.45	849.56	3048
Sannahed	Kumla Municipality	417	46.27	901.23	6108
Saxdalen	Ludvika Municipality	604	175.19	344.77	6720
Saxtorpsskogen	Landskrona Municipality Kävlinge Municipality	973	145.88	666.99	3718
Segersta	Bollnäs Municipality	313	140.00	223.57	7276
Segersäng	Nynäshamn Municipality	608	56.12	1083.39	330
Segmon	Grums Municipality	437	131.44	332.47	5796
Selja	Mora Municipality	548	114.71	477.73	6724
Sennan	Halmstad Municipality	399	73.41	543.52	4076
Seskarö	Haparanda Municipality	491	161.52	303.99	8840
Sexdrega	Svenljunga Municipality	787	91.53	859.83	5016
Sibbhult	Östra Göinge Municipality	1364	147.25	926.32	3052
Sibble	Botkyrka Municipality	309	65.64	470.75	298
Sibo	Bollnäs Municipality	301	153.64	195.91	7280
Sidensjö	Örnsköldsvik Municipality	399	105.44	378.41	7644
Sifferbo	Gagnef Municipality	414	66.74	620.32	6728
Sigtuna	Sigtuna Municipality	8444	456.66	1849.08	300
Siljansnäs	Leksand Municipality	1268	380.98	332.83	6732
Silverdalen	Hultsfred Municipality	725	138.99	521.62	2400
Simlångsdalen	Halmstad Municipality	587	66.50	882.71	4080
Simonstorp	Norrköping Municipality	258	51.06	505.29	1232
Simris	Simrishamn Municipality	211	26.20	805.34	3056
Simrishamn	Simrishamn Municipality	6527	449.06	1453.48	3060
Sjuhalla	Karlskrona Municipality	204	45.54	447.96	2742
Sjulsmark	Piteå Municipality	350	64.62	541.63	8846
Sjunnen	Vetlanda Municipality	422	46.75	902.67	1644
Sjuntorp	Trollhättan Municipality	2124	240.15	884.45	5020
Sjöberg	Sollentuna Municipality	4310	138.90	3102.95	304
Sjöbo sommarby och Svansjö sommarby	Sjöbo Municipality	668	89.29	748.12	3714
Sjöbo	Sjöbo Municipality	6724	526.71	1276.60	3664
Sjödiken	Svedala Municipality	438	58.41	749.87	3668
Sjögestad	Linköping Municipality	300	41.38	724.99	1236
Sjömarken	Borås Municipality	2829	225.43	1254.94	5024
Sjörröd	Hässleholm Municipality	1077	213.31	504.90	3062
Sjösa	Nyköping Municipality	483	52.18	925.64	832
Sjötorp	Mariestad Municipality	494	85.01	581.11	5412
Sjövik	Lerum Municipality	905	83.96	1077.89	5032
Skagersvik	Gullspång Municipality	250	56.50	442.48	5416
Skanör med Falsterbo	Vellinge Municipality	6937	541.96	1279.98	3672
Skara	Skara Municipality	10841	768.20	1411.22	5420
Skattkärr	Karlstad Municipality	2135	207.15	1030.65	5800
Skattungbyn	Orsa Municipality	295	143.29	205.88	6736
Skavkulla och Skillingenäs	Karlskrona Municipality	621	89.17	696.42	2738
Skebobruk	Norrtälje Municipality	282	131.80	213.96	308
Skeda udde	Linköping Municipality	283	36.65	772.17	1238
Skedala	Halmstad Municipality	351	41.56	844.56	4084
Skede	Vetlanda Municipality	304	58.64	518.42	1648
Skedvi kyrkby	Säter Municipality	208	38.09	546.08	6764
Skee	Strömstad Municipality	583	111.74	521.75	4556
Skegrie	Trelleborg Municipality	1106	68.80	1607.56	3676
Skelleftehamn	Skellefteå Municipality	3184	401.24	793.54	8308
Skellefteå	Skellefteå Municipality	32775	2174.43	1507.29	8312
Skepparkroken	Ängelholm Municipality	743	78.10	951.34	3063
Skepplanda	Ale Municipality	1803	103.77	1737.50	5036
Skeppsdalsström	Värmdö Municipality	1573	283.72	554.42	312
Skeppshult	Gislaved Municipality	365	85.40	427.40	1652
Skillingaryd	Vaggeryd Municipality	3889	377.86	1029.22	1656
Skillinge	Simrishamn Municipality	859	86.72	990.54	3072
Skinnskatteberg	Skinnskatteberg Municipality	2287	291.52	784.51	6320
Skivarp	Skurup Municipality	1257	125.92	998.25	3680
Skoby	Östhammar Municipality Uppsala Municipality	230	44.83	513.05	614
Skog	Söderhamn Municipality	302	116.55	259.12	7284
Skoghall	Hammarö Municipality	13265	1060.74	1250.54	5804
Skogsby	Mörbylånga Municipality	569	78.50	724.84	2404
Skogstorp	Eskilstuna Municipality	2860	264.56	1081.04	840
Skogstorp	Falkenberg Municipality	2124	139.05	1527.51	4088
Skottorp	Laholm Municipality	475	76.02	624.84	4092
Skottsund	Sundsvall Municipality	1069	108.29	987.16	7652
Skrea	Falkenberg Municipality	1064	101.65	1046.73	4096
Skreanäs	Falkenberg Municipality	243	19.12	1270.92	4094
Skriketorp	Norrköping Municipality	246	31.88	771.64	1242
Skruv	Lessebo Municipality	490	124.64	393.13	1976
Skultorp	Skövde Municipality	3642	269.05	1353.65	5424
Skultuna	Västerås Municipality	3133	213.09	1470.27	6324
Skummeslövsstrand	Laholm Municipality	491	77.30	635.19	4098
Skumparp	Malmö Municipality	205	15.42	1329.44	3682
Skurup	Skurup Municipality	7565	476.73	1586.85	3684
Skutskär	Älvkarleby Municipality Gävle Municipality	6075	735.31	826.18	616
Skyttorp	Uppsala Municipality	666	88.98	748.48	620
Skällinge	Varberg Municipality	626	68.40	915.20	4100
Skänninge	Mjölby Municipality	3140	276.04	1137.52	1244
Skärblacka	Norrköping Municipality	4059	389.20	1042.91	1248
Skärgårdsstad	Österåker Municipality	1924	165.74	1160.85	306
Skärhamn	Tjörn Municipality	3193	246.49	1295.39	4560
Skärplinge	Tierp Municipality	673	95.08	707.82	624
Skärstad	Jönköping Municipality	341	23.26	1466.04	1660
Skånes-Fagerhult	Örkelljunga Municipality	856	164.24	521.19	3080
Skåpafors	Bengtsfors Municipality	313	112.30	278.72	5040
Skåre	Karlstad Municipality	5402	388.26	1391.34	5808
Sköldinge	Katrineholm Municipality	604	101.26	596.48	844
Sköllersta	Hallsberg Municipality	1131	164.18	688.88	6112
Skölsta	Uppsala Municipality	344	39.00	882.05	622
Skövde	Skövde Municipality	34466	2031.16	1696.86	5428
Slaka	Linköping Municipality	592	111.86	529.23	1252
Slite	Gotland Municipality	1483	250.71	591.52	2536
Slottsbron	Grums Municipality	1039	158.44	655.77	5810
Slottsskogen	Håbo Municipality	1492	166.60	895.56	626
Slöinge	Falkenberg Municipality	950	102.18	929.73	4104
Smedby	Kalmar Municipality	3487	205.93	1693.29	2408
Smedjebacken	Smedjebacken Municipality	5100	636.26	801.56	6744
Smedstorp	Tomelilla Municipality	363	59.38	611.32	3084
Smygehamn	Trelleborg Municipality	1278	104.77	1219.81	3688
Smålandsstenar	Gislaved Municipality	4530	464.88	974.45	1664
Smögen	Sotenäs Municipality	1329	104.91	1266.80	4564
Snöveltorp	Söderköping Municipality	333	60.63	549.23	1170
Solberga	Nässjö Municipality	374	67.28	555.89	1668
Solberga	Österåker Municipality	409	107.63	380.01	302
Sollebrunn	Alingsås Municipality	1440	140.04	1028.28	5044
Sollefteå	Sollefteå Municipality	8562	939.59	911.25	7660
Sollerön	Mora Municipality	901	250.42	359.80	6748
Solsidan	Ekerö Municipality	349	23.44	1488.91	318
Solvarbo	Säter Municipality	321	63.90	502.35	6752
Sommen	Tranås Municipality	772	129.05	598.22	1672
Sonstorp	Finspång Municipality	429	57.40	747.39	1256
Sorsele	Sorsele Municipality	1277	182.07	701.38	8316
Sorunda	Nynäshamn Municipality	1307	110.32	1184.74	320
Sparreholm	Flen Municipality	741	115.91	639.29	848
Spjutsbygd	Karlskrona Municipality	383	51.65	741.53	2744
Spångsholm	Mjölby Municipality	408	66.89	609.96	1260
Staffanstorp	Staffanstorp Municipality	14808	662.64	2234.70	3696
Stallarholmen	Strängnäs Municipality	1623	195.17	831.58	852
Stamsjö	Lerum Municipality	408	26.59	1534.41	4374
Starrkärr och Näs	Stenungsund Municipality	499	101.67	490.80	4566
Stava	Österåker Municipality	305	89.66	340.17	326
Stavreviken	Timrå Municipality	216	30.06	718.56	7668
